group_id,group_title,lesson,question_no,question_jp,meaning_vi,option_a,option_b,option_c,option_d
1,Động từ hành động,Mina bài 15,1,たちます nghĩa là gì?,たちます nghĩa là gì?,đứng,ngồi,dùng,đặt
1,Động từ hành động,Mina bài 15,2,すわります nghĩa là gì?,すわります nghĩa là gì?,ngồi,đứng,bán,nghiên cứu
1,Động từ hành động,Mina bài 15,3,つかいます nghĩa là gì?,つかいます nghĩa là gì?,dùng / sử dụng,đặt / để,làm / chế tạo,nhớ ra
1,Động từ hành động,Mina bài 15,4,おきます nghĩa là gì?,おきます nghĩa là gì?,đặt / để,đứng,biết,sống
1,Động từ hành động,Mina bài 15,5,つくります nghĩa là gì?,つくります nghĩa là gì?,làm / chế tạo,bán,nghiên cứu,dùng
1,Động từ hành động,Mina bài 15,6,うります nghĩa là gì?,うります nghĩa là gì?,bán,mua,đặt,nhớ ra
1,Động từ hành động,Mina bài 15,7,けんきゅうします nghĩa là gì?,けんきゅうします nghĩa là gì?,nghiên cứu,chế tạo,bán,cư trú
1,Động từ hành động,Mina bài 15,8,おもいだします nghĩa là gì?,おもいだします nghĩa là gì?,nhớ ra,biết,không biết,sống
1,Động từ hành động,Mina bài 15,9,いらっしゃいます nghĩa là gì?,いらっしゃいます nghĩa là gì?,có / ở / đi / đến,đứng,dùng,bán
1,Động từ hành động,Mina bài 15,10,ここで たちます nghĩa là gì?,ここで たちます nghĩa là gì?,đứng ở đây,ngồi ở đây,sống ở đây,bán ở đây
