group_id,group_title,lesson,question_no,question_jp,meaning_vi,option_a,option_b,option_c,option_d
2,Động từ giao tiếp / hành động,Mina bài 14,1,てつだいます nghĩa là gì?,てつだいます nghĩa là gì?,giúp đỡ,gọi,nói chuyện,cho xem
2,Động từ giao tiếp / hành động,Mina bài 14,2,よびます nghĩa là gì?,よびます nghĩa là gì?,gọi,nói chuyện,giúp đỡ,chỉ cho biết
2,Động từ giao tiếp / hành động,Mina bài 14,3,話します（はなします） nghĩa là gì?,話します（はなします） nghĩa là gì?,nói chuyện,gọi,cho xem,bắt đầu
2,Động từ giao tiếp / hành động,Mina bài 14,4,みせます nghĩa là gì?,みせます nghĩa là gì?,cho xem,nói chuyện,photo,rơi
2,Động từ giao tiếp / hành động,Mina bài 14,5,おしえます nghĩa là gì?,おしえます nghĩa là gì?,chỉ / dạy / cho biết,cho xem,gọi,sao chép
2,Động từ giao tiếp / hành động,Mina bài 14,6,はじめます nghĩa là gì?,はじめます nghĩa là gì?,bắt đầu,giúp đỡ,nói chuyện,chờ
2,Động từ giao tiếp / hành động,Mina bài 14,7,ふります nghĩa là gì?,ふります nghĩa là gì?,rơi,bắt đầu,rẽ,đỗ
2,Động từ giao tiếp / hành động,Mina bài 14,8,コピーします nghĩa là gì?,コピーします nghĩa là gì?,photo / sao chép,chỉ cho biết,nói chuyện,mở
2,Động từ giao tiếp / hành động,Mina bài 14,9,雨（あめ）が ふります nghĩa là gì?,雨（あめ）が ふります nghĩa là gì?,trời mưa,trời bắt đầu,bật máy lạnh,rẽ phải
2,Động từ giao tiếp / hành động,Mina bài 14,10,コピーを します nghĩa là gì?,コピーを します nghĩa là gì?,photo,gọi điện,giúp đỡ,chờ
