group_id,group_title,lesson,question_no,question_jp,meaning_vi,option_a,option_b,option_c,option_d
12,Điền vào câu / ngoại hình và nhà ở,Mina bài 22,1,この コートは＿＿＿です。,Chọn đáp án phù hợp.,安い（やすい）,背が高い（せがたかい）,かみが長い（かみがながい）,誰（だれ）
12,Điền vào câu / ngoại hình và nhà ở,Mina bài 22,2,この マンションは＿＿＿です。,Chọn đáp án phù hợp.,高い（たかい）,かわいい,背が低い（せがひくい）,いつ
12,Điền vào câu / ngoại hình và nhà ở,Mina bài 22,3,山田（やまだ）さんは＿＿＿です。,Chọn đáp án phù hợp.,背が高い（せがたかい）,安い（やすい）,ふとん,やちん
12,Điền vào câu / ngoại hình và nhà ở,Mina bài 22,4,田中（たなか）さんは＿＿＿です。,Chọn đáp án phù hợp.,背が低い（せがひくい）,高い（たかい）,アパート,おしいれ
12,Điền vào câu / ngoại hình và nhà ở,Mina bài 22,5,あの 人（ひと）は＿＿＿です。,Chọn đáp án phù hợp.,かみが長い（かみがながい）,ダイニングキッチン,どの,やちん
12,Điền vào câu / ngoại hình và nhà ở,Mina bài 22,6,この 子（こ）は＿＿＿です。,Chọn đáp án phù hợp.,かみが短い（かみがみじかい）,ふとん,どこ,こちら
12,Điền vào câu / ngoại hình và nhà ở,Mina bài 22,7,わたしは 大阪（おおさか）で＿＿＿。,Chọn đáp án phù hợp.,生まれました（うまれました）,着ます（きます）,はきます,かぶります
12,Điền vào câu / ngoại hình và nhà ở,Mina bài 22,8,A: おめでとうございます。B: ＿＿＿。,Chọn đáp án phù hợp.,ありがとうございます,どこですか,いつですか,誰（だれ）ですか
12,Điền vào câu / ngoại hình và nhà ở,Mina bài 22,9,＿＿＿は 山田（やまだ）さんです。,Chọn đáp án phù hợp.,こちら,いつ,どこ,やちん
12,Điền vào câu / ngoại hình và nhà ở,Mina bài 22,10,＿＿＿服（ふく）が すきですか。,Chọn đáp án phù hợp.,どんな,誰（だれ）,いつ,どこ
