group_id,group_title,lesson,question_no,question_jp,meaning_vi,option_a,option_b,option_c,option_d
11,Điền vào câu / dự đoán,Mina bài 21,1,これは＿＿＿ですね。,これは＿＿＿ですね。,すごい,たぶん,最近（さいきん）,試合（しあい）
11,Điền vào câu / dự đoán,Mina bài 21,2,もう 時間（じかん）が ありません。＿＿＿。,もう 時間（じかん）が ありません。＿＿＿。,仕方がありません（しかたがありません）,もちろん,すごい,本当に（ほんとうに）
11,Điền vào câu / dự đoán,Mina bài 21,3,A: 行きますか。B: はい、＿＿＿ 行きます。,A: 行きますか。B: はい、＿＿＿ 行きます。,もちろん,そんなに,最近（さいきん）,むだ
11,Điền vào câu / dự đoán,Mina bài 21,4,＿＿＿ 高くないです。,＿＿＿ 高くないです。,そんなに,もちろん,きっと,最近（さいきん）
11,Điền vào câu / dự đoán,Mina bài 21,5,あしたは＿＿＿ 雨（あめ）です。,あしたは＿＿＿ 雨（あめ）です。,たぶん,そんなに,もちろん,むだ
11,Điền vào câu / dự đoán,Mina bài 21,6,田中（たなか）さんは＿＿＿ 来ます（きます）。,田中（たなか）さんは＿＿＿ 来ます（きます）。,きっと,そんなに,むだ,不便（ふべん）
11,Điền vào câu / dự đoán,Mina bài 21,7,＿＿＿、どうですか。,＿＿＿、どうですか。,最近（さいきん）,そんなに,もちろん,むだ
11,Điền vào câu / dự đoán,Mina bài 21,8,A: しばらくですね。B: ＿＿＿。,A: しばらくですね。B: ＿＿＿。,そうですね,きっと,たぶん,うそ
11,Điền vào câu / dự đoán,Mina bài 21,9,もう＿＿＿。また あした。,もう＿＿＿。また あした。,帰らないと（かえらないと）,足ります（たります）,勝ちます（かちます）,うごきます
11,Điền vào câu / dự đoán,Mina bài 21,10,この 話（はなし）は＿＿＿ おもしろいです。,この 話（はなし）は＿＿＿ おもしろいです。,本当に（ほんとうに）,そんなに,たぶん,むだ
