group_id,group_title,lesson,question_no,question_jp,meaning_vi,option_a,option_b,option_c,option_d
6,Thứ / mẫu câu,Mina bài 4,1,どようび nghĩa là gì?,Chọn nghĩa tiếng Việt phù hợp.,thứ Bảy,thứ Sáu,Chủ nhật,thứ Hai
6,Thứ / mẫu câu,Mina bài 4,2,にちようび nghĩa là gì?,Chọn nghĩa tiếng Việt phù hợp.,Chủ nhật,thứ Bảy,thứ Hai,thứ Ba
6,Thứ / mẫu câu,Mina bài 4,3,なんようび nghĩa là gì?,Chọn nghĩa tiếng Việt phù hợp.,thứ mấy,mấy giờ,mấy phút,ngày nghỉ
6,Thứ / mẫu câu,Mina bài 4,4,〜から nghĩa là gì?,Chọn nghĩa tiếng Việt phù hợp.,từ...,đến...,và,số mấy
6,Thứ / mẫu câu,Mina bài 4,5,〜まで nghĩa là gì?,Chọn nghĩa tiếng Việt phù hợp.,đến...,từ...,và,số
6,Thứ / mẫu câu,Mina bài 4,6,〜と〜 nghĩa là gì?,Chọn nghĩa tiếng Việt phù hợp.,... và ...,từ...,đến...,phía đó
6,Thứ / mẫu câu,Mina bài 4,7,たいへんですね nghĩa là gì?,Chọn nghĩa tiếng Việt phù hợp.,vất vả nhỉ,cảm ơn,xin lỗi,mấy giờ
6,Thứ / mẫu câu,Mina bài 4,8,ばんごう nghĩa là gì?,Chọn nghĩa tiếng Việt phù hợp.,số,số mấy,tầng mấy,mấy tuổi
6,Thứ / mẫu câu,Mina bài 4,9,なんばん nghĩa là gì?,Chọn nghĩa tiếng Việt phù hợp.,số mấy,số,thứ mấy,mấy phút
6,Thứ / mẫu câu,Mina bài 4,10,そちら nghĩa là gì?,Chọn nghĩa tiếng Việt phù hợp.,phía đó / bên đó,phía này / bên này,phía kia / bên kia,ở đâu
