group_id,group_title,lesson,question_no,question_jp,romaji,meaning_vi,option_a,option_b,option_c,option_d
2,Công việc / trạng thái,Mina bài 17,1,ざんぎょうします nghĩa là gì?,zangyoushimasu,Nghĩa là gì?,làm thêm giờ,đi công tác,lo lắng,ra ngoài
2,Công việc / trạng thái,Mina bài 17,2,しゅっちょうします nghĩa là gì?,shucchoushimasu,Nghĩa là gì?,đi công tác,làm thêm giờ,trả tiền,trả lại
2,Công việc / trạng thái,Mina bài 17,3,飲みます（のみます） nghĩa là gì?,飲mimasu（nomimasu）,Nghĩa là gì?,uống,vào,cởi,nhớ
2,Công việc / trạng thái,Mina bài 17,4,入ります（はいります） nghĩa là gì?,入rimasu（hairimasu）,Nghĩa là gì?,vào,ra ngoài,uống,trả lại
2,Công việc / trạng thái,Mina bài 17,5,たいせつ nghĩa là gì?,taisetsu,Nghĩa là gì?,quan trọng,ổn / không sao,nguy hiểm,cấm hút thuốc
2,Công việc / trạng thái,Mina bài 17,6,だいじょうぶ nghĩa là gì?,daijoubu,Nghĩa là gì?,ổn / không sao,quan trọng,nguy hiểm,bị bệnh
2,Công việc / trạng thái,Mina bài 17,7,あぶない nghĩa là gì?,abunai,Nghĩa là gì?,nguy hiểm,quan trọng,không sao,đau
2,Công việc / trạng thái,Mina bài 17,8,問題（もんだい） nghĩa là gì?,mondai,Nghĩa là gì?,vấn đề / câu hỏi,câu trả lời,thuốc,bệnh viện
2,Công việc / trạng thái,Mina bài 17,9,こたえ nghĩa là gì?,kotae,Nghĩa là gì?,câu trả lời,câu hỏi,vấn đề,thời gian
2,Công việc / trạng thái,Mina bài 17,10,きんえん nghĩa là gì?,kinen,Nghĩa là gì?,cấm hút thuốc,cấm vào,cấm uống,cấm ra ngoài
