group_id,group_title,lesson,question_no,question_jp,meaning_vi,option_a,option_b,option_c,option_d
1,Động từ,Mina bài 6,1,食べます（たべます） nghĩa là gì?,Nghĩa là gì?,uống,ăn,hút,mua
1,Động từ,Mina bài 6,2,飲みます（のみます） nghĩa là gì?,Nghĩa là gì?,ăn,uống,nghe,viết
1,Động từ,Mina bài 6,3,すいます nghĩa là gì?,Nghĩa là gì?,hút,xem,đọc,chụp
1,Động từ,Mina bài 6,4,見ます（みます） nghĩa là gì?,Nghĩa là gì?,nghe,xem / nhìn,đọc,viết
1,Động từ,Mina bài 6,5,聞きます（ききます） nghĩa là gì?,Nghĩa là gì?,nghe,xem,mua,gặp
1,Động từ,Mina bài 6,6,読みます（よみます） nghĩa là gì?,Nghĩa là gì?,viết,đọc,nghe,làm
1,Động từ,Mina bài 6,7,書きます（かきます） nghĩa là gì?,Nghĩa là gì?,đọc,viết,chụp,mua
1,Động từ,Mina bài 6,8,買います（かいます） nghĩa là gì?,Nghĩa là gì?,mua,gặp,làm,lấy
1,Động từ,Mina bài 6,9,とります nghĩa là gì?,Nghĩa là gì?,chụp / lấy,đọc,nghe,uống
1,Động từ,Mina bài 6,10,します nghĩa là gì?,Nghĩa là gì?,làm,ăn,uống,gặp
