group_id,group_title,lesson,question_no,question_jp,romaji,meaning_vi,option_a,option_b,option_c,option_d
12,Chọn kanji đúng,Mina bài 18,1,“trưởng phòng” viết bằng kanji nào?,“trưởng phòng” viết bằng kanji nào?,Chọn đáp án phù hợp.,課長,部長,社長,社員
12,Chọn kanji đúng,Mina bài 18,2,“trưởng bộ phận” viết bằng kanji nào?,“trưởng bộ phận” viết bằng kanji nào?,Chọn đáp án phù hợp.,部長,課長,社長,会社員
12,Chọn kanji đúng,Mina bài 18,3,“giám đốc / chủ tịch công ty” viết bằng kanji nào?,“giám đốc / chủ tịch công ty” viết bằng kanji nào?,Chọn đáp án phù hợp.,社長,部長,課長,先生
12,Chọn kanji đúng,Mina bài 18,4,“động vật” viết bằng kanji nào?,“động vật” viết bằng kanji nào?,Chọn đáp án phù hợp.,動物,食物,建物,荷物
12,Chọn kanji đúng,Mina bài 18,5,“ngựa” viết bằng kanji nào?,“ngựa” viết bằng kanji nào?,Chọn đáp án phù hợp.,馬,牛,犬,猫
12,Chọn kanji đúng,Mina bài 18,6,“nông trại / trang trại” viết bằng kanji nào?,“nông trại / trang trại” viết bằng kanji nào?,Chọn đáp án phù hợp.,牧場,工場,会場,売場
12,Chọn kanji đúng,Mina bài 18,7,“tiền mặt” viết bằng kanji nào?,“tiền mặt” viết bằng kanji nào?,Chọn đáp án phù hợp.,現金,お金,金額,料金
12,Chọn kanji đúng,Mina bài 18,8,“sở thích” viết bằng kanji nào?,“sở thích” viết bằng kanji nào?,Chọn đáp án phù hợp.,趣味,日記,祈り,勉強
12,Chọn kanji đúng,Mina bài 18,9,“nhật ký” viết bằng kanji nào?,“nhật ký” viết bằng kanji nào?,Chọn đáp án phù hợp.,日記,趣味,手紙,本
12,Chọn kanji đúng,Mina bài 18,10,“bài hát” viết bằng kanji nào?,“bài hát” viết bằng kanji nào?,Chọn đáp án phù hợp.,歌,音楽,声,話
