group_id,group_title,lesson,question_no,question_jp,meaning_vi,option_a,option_b,option_c,option_d
3,Điền từ vào chỗ trống,JLPT N5 20137,1,へやが（   ）ですから、ストーブを つけましょう。,Vì phòng lạnh nên bật lò sưởi nhé.,つめたい,ぬるい,あつい,さむい
3,Điền từ vào chỗ trống,JLPT N5 20137,2,つぎの（   ）で でんしゃを おります。,Tôi xuống tàu ở ga tiếp theo.,かいだん,しんごう,かど,えき
3,Điền từ vào chỗ trống,JLPT N5 20137,3,なつやすみは かぞくと やまに（   ）。,Kỳ nghỉ hè tôi leo núi với gia đình.,のぼります,あるきます,あがります,のります
3,Điền từ vào chỗ trống,JLPT N5 20137,4,きのうは（   ）が たくさん ふりました。,Hôm qua tuyết rơi nhiều.,そら,くもり,みず,ゆき
3,Điền từ vào chỗ trống,JLPT N5 20137,5,えんぴつを 4（   ）かいました。,Tôi đã mua 4 cây bút chì.,ほん,まい,さつ,だい
3,Điền từ vào chỗ trống,JLPT N5 20137,6,さとうさんは めがねを（   ）います。,Anh/chị Sato đang đeo kính.,かけて,はいて,きて,かぶって
3,Điền từ vào chỗ trống,JLPT N5 20137,7,かぜが（   ）ですから、まどを しめましょう。,Vì gió mạnh nên đóng cửa sổ nhé.,たかい,つよい,ながい,ひろい
3,Điền từ vào chỗ trống,JLPT N5 20137,8,わたしは うたが（   ）じゃ ありませんから、うたいたくないです。,Vì tôi hát không giỏi nên không muốn hát.,にぎやか,たいせつ,じょうず,べんり
3,Điền từ vào chỗ trống,JLPT N5 20137,9,いもうとは いま（   ）を みがいて います。,Em gái tôi bây giờ đang đánh răng.,はな,かお,くち,は
3,Điền từ vào chỗ trống,JLPT N5 20137,10,みちが わかりませんから、（   ）を かいて ください。,Vì tôi không biết đường nên hãy vẽ bản đồ.,てがみ,ちず,レポート,コピー
