group_id,group_title,lesson,question_no,question_jp,meaning_vi,option_a,option_b,option_c,option_d
5,Câu giao tiếp,Mina bài 7,1,いらっしゃい,Nghĩa là gì?,mời vào / chào mừng,xin phép,cảm ơn vì bữa ăn,mời ăn
5,Câu giao tiếp,Mina bài 7,2,どうぞ おあがりください,Nghĩa là gì?,xin mời vào nhà,xin phép / thất lễ,mời ăn / tôi xin nhận,cảm ơn vì bữa ăn
5,Câu giao tiếp,Mina bài 7,3,しつれいします,Nghĩa là gì?,xin phép / thất lễ,mời vào,đẹp quá,cảm ơn vì bữa ăn
5,Câu giao tiếp,Mina bài 7,4,いただきます,Nghĩa là gì?,mời ăn / tôi xin nhận,cảm ơn vì bữa ăn,xin phép,chào mừng
5,Câu giao tiếp,Mina bài 7,5,ごちそうさまでした,Nghĩa là gì?,cảm ơn vì bữa ăn,mời ăn,xin mời vào nhà,có ai ở nhà không
5,Câu giao tiếp,Mina bài 7,6,日本語（にほんご）,Nghĩa là gì?,tiếng Nhật,tiếng Anh,tiếng Hàn,tiếng Trung
5,Câu giao tiếp,Mina bài 7,7,英語（えいご）,Nghĩa là gì?,tiếng Anh,tiếng Nhật,tiếng Hàn,tiếng Trung
5,Câu giao tiếp,Mina bài 7,8,かんこくご,Nghĩa là gì?,tiếng Hàn,tiếng Trung,tiếng Nhật,tiếng Anh
5,Câu giao tiếp,Mina bài 7,9,ちゅうごくご,Nghĩa là gì?,tiếng Trung,tiếng Hàn,tiếng Nhật,tiếng Anh
5,Câu giao tiếp,Mina bài 7,10,なんで,Nghĩa là gì?,bằng gì,cho ai,từ ai,cái gì
