group_id,group_title,lesson,question_no,question_jp,romaji,meaning_vi,option_a,option_b,option_c,option_d
4,Gửi thư / gia đình,Mina bài 11,1,かきとめ nghĩa là gì?,kakitome,Hỏi nghĩa tiếng Việt của từ/cụm: かきとめ,thư bảo đảm,chuyển phát nhanh,thư hàng không,thư đường biển
4,Gửi thư / gia đình,Mina bài 11,2,エアメール nghĩa là gì?,eame-ru,Hỏi nghĩa tiếng Việt của từ/cụm: エアメール,thư hàng không,thư đường biển,thư bảo đảm,chuyển phát nhanh
4,Gửi thư / gia đình,Mina bài 11,3,こうくうびん nghĩa là gì?,koukuubin,Hỏi nghĩa tiếng Việt của từ/cụm: こうくうびん,thư hàng không,thư đường biển,bưu thiếp,phong bì
4,Gửi thư / gia đình,Mina bài 11,4,ふなびん nghĩa là gì?,funabin,Hỏi nghĩa tiếng Việt của từ/cụm: ふなびん,thư đường biển,thư hàng không,chuyển phát nhanh,thư bảo đảm
4,Gửi thư / gia đình,Mina bài 11,5,りょうしん nghĩa là gì?,ryoushin,Hỏi nghĩa tiếng Việt của từ/cụm: りょうしん,bố mẹ,anh chị em,anh trai tôi,chị gái tôi
4,Gửi thư / gia đình,Mina bài 11,6,きょうだい nghĩa là gì?,kyoudai,Hỏi nghĩa tiếng Việt của từ/cụm: きょうだい,anh chị em,bố mẹ,em trai tôi,em gái tôi
4,Gửi thư / gia đình,Mina bài 11,7,あに nghĩa là gì?,ani,Hỏi nghĩa tiếng Việt của từ/cụm: あに,anh trai tôi,anh trai,chị gái tôi,em trai tôi
4,Gửi thư / gia đình,Mina bài 11,8,おにいさん nghĩa là gì?,oniisan,Hỏi nghĩa tiếng Việt của từ/cụm: おにいさん,anh trai,anh trai tôi,chị gái,em trai người khác
4,Gửi thư / gia đình,Mina bài 11,9,あね nghĩa là gì?,ane,Hỏi nghĩa tiếng Việt của từ/cụm: あね,chị gái tôi,chị gái,anh trai tôi,em gái tôi
4,Gửi thư / gia đình,Mina bài 11,10,おねえさん nghĩa là gì?,oneesan,Hỏi nghĩa tiếng Việt của từ/cụm: おねえさん,chị gái,chị gái tôi,em gái tôi,mẹ tôi
