group_id,group_title,lesson,question_no,question_jp,meaning_vi,option_a,option_b,option_c,option_d
4,Trạng từ / câu nói,Mina bài 14,1,ゆっくり nghĩa là gì?,ゆっくり nghĩa là gì?,chậm / thong thả,ngay lập tức,lại / nữa,sau đó
4,Trạng từ / câu nói,Mina bài 14,2,すぐ nghĩa là gì?,すぐ nghĩa là gì?,ngay lập tức,chậm / thong thả,thêm một chút nữa,thẳng
4,Trạng từ / câu nói,Mina bài 14,3,また nghĩa là gì?,また nghĩa là gì?,lại / nữa,ngay lập tức,sau đó,bên phải
4,Trạng từ / câu nói,Mina bài 14,4,あとで nghĩa là gì?,あとで nghĩa là gì?,sau đó / lát nữa,ngay lập tức,chậm,thẳng
4,Trạng từ / câu nói,Mina bài 14,5,もう すこし nghĩa là gì?,もう すこし nghĩa là gì?,thêm một chút nữa,ngay lập tức,sau đó,chậm
4,Trạng từ / câu nói,Mina bài 14,6,もう nghĩa là gì?,もう nghĩa là gì?,thêm / đã,thẳng,bên trái,tiền thối
4,Trạng từ / câu nói,Mina bài 14,7,いいですよ nghĩa là gì?,いいですよ nghĩa là gì?,được chứ / được thôi,ủa? / ô?,xin dùng cái này,thêm một chút nữa
4,Trạng từ / câu nói,Mina bài 14,8,さあ nghĩa là gì?,さあ nghĩa là gì?,ừm / nào,được thôi,ngay lập tức,lại nữa
4,Trạng từ / câu nói,Mina bài 14,9,あれ？ nghĩa là gì?,あれ？ nghĩa là gì?,ủa? / ô?,được thôi,xin dùng cái này,chờ một chút
4,Trạng từ / câu nói,Mina bài 14,10,これで おねがいします nghĩa là gì?,これで おねがいします nghĩa là gì?,xin dùng cái này,tiền thối lại,được thôi,sau đó nhé
