group_id,group_title,lesson,question_no,question_jp,romaji,meaning_vi,option_a,option_b,option_c,option_d
12,Điền vào câu / bưu điện,Mina bài 11,1,はがきを 3＿＿＿ ください。,hagakio kudasai,はがきを 3＿＿＿ ください。,まい,だい,にん,かい
12,Điền vào câu / bưu điện,Mina bài 11,2,ふうとうを 2＿＿＿ ください。,fuutouo kudasai,ふうとうを 2＿＿＿ ください。,まい,にん,だい,じかん
12,Điền vào câu / bưu điện,Mina bài 11,3,きってを 10＿＿＿ ください。,kitteo kudasai,きってを 10＿＿＿ ください。,まい,かい,にん,だい
12,Điền vào câu / bưu điện,Mina bài 11,4,そくたつで＿＿＿。,sokutatsude,そくたつで＿＿＿。,おねがいします,いってきます,やすみます,あります
12,Điền vào câu / bưu điện,Mina bài 11,5,エアメールで＿＿＿。,eame-rude,エアメールで＿＿＿。,おねがいします,います,かかります,やすみます
12,Điền vào câu / bưu điện,Mina bài 11,6,ぜんぶで 500円（えん）＿＿＿。,zenbude en,ぜんぶで 500円（えん）＿＿＿。,です,います,かかります,やすみます
12,Điền vào câu / bưu điện,Mina bài 11,7,日本（にほん）まで どのくらい＿＿＿。,nihonmade donokurai,日本（にほん）まで どのくらい＿＿＿。,かかりますか,ありますか,いますか,やすみますか
12,Điền vào câu / bưu điện,Mina bài 11,8,2週間（にしゅうかん）＿＿＿ かかります。,nishuukan kakarimasu,2週間（にしゅうかん）＿＿＿ かかります。,ぐらい,だけ,みんな,ぜんぶで
12,Điền vào câu / bưu điện,Mina bài 11,9,ふなびんは 1か月（いっかげつ）＿＿＿ かかります。,funabinha ikkagetsu kakarimasu,ふなびんは 1か月（いっかげつ）＿＿＿ かかります。,ぐらい,だけ,みんな,ぜんぶで
12,Điền vào câu / bưu điện,Mina bài 11,10,これを こうくうびんで＿＿＿。,koreo koukuubinde,これを こうくうびんで＿＿＿。,おねがいします,いってらっしゃい,かしこまりました,おでかけですか
