group_id,group_title,lesson,question_no,question_jp,romaji,meaning_vi,option_a,option_b,option_c,option_d
1,Nhật → Việt,Mina bài 25,1,考えます（かんがえます） nghĩa là gì?,,考えます（かんがえます） nghĩa là gì?,suy nghĩ,đến / tới,đủ,cố gắng
1,Nhật → Việt,Mina bài 25,2,着きます（つきます） nghĩa là gì?,,着きます（つきます） nghĩa là gì?,đến / tới,suy nghĩ,chuyển công tác,có tuổi
1,Nhật → Việt,Mina bài 25,3,取ります（とります） nghĩa là gì?,,取ります（とります） nghĩa là gì?,có tuổi / lấy,đủ,suy nghĩ,chuyển công tác
1,Nhật → Việt,Mina bài 25,4,足ります（たります） nghĩa là gì?,,足ります（たります） nghĩa là gì?,đủ,thiếu,cố gắng,đến
1,Nhật → Việt,Mina bài 25,5,こと nghĩa là gì?,,こと nghĩa là gì?,việc / chuyện,cơ hội,quê,một trăm triệu
1,Nhật → Việt,Mina bài 25,6,もし nghĩa là gì?,,もし nghĩa là gì?,nếu như,dù bao nhiêu,cơ hội,cố gắng
1,Nhật → Việt,Mina bài 25,7,いくら nghĩa là gì?,,いくら nghĩa là gì?,dù bao nhiêu / bao nhiêu tiền,nếu như,một trăm triệu,cơ hội
1,Nhật → Việt,Mina bài 25,8,チャンス nghĩa là gì?,,チャンス nghĩa là gì?,cơ hội,việc / chuyện,quê,chuyển công tác
1,Nhật → Việt,Mina bài 25,9,がんばります nghĩa là gì?,,がんばります nghĩa là gì?,cố gắng,suy nghĩ,đến / tới,đủ
1,Nhật → Việt,Mina bài 25,10,転勤（てんきん） nghĩa là gì?,,転勤（てんきん） nghĩa là gì?,chuyển công tác,cơ hội,quê / nông thôn,một trăm triệu
