| Câu | Đáp án | Từ đúng | Hiragana | Nghĩa / giải thích ngắn |  |
| --- | --- | --- | --- | --- | --- |
| 1.1 | A | かんたん | かんたん | đơn giản / dễ |  |
| 1.2 | A | 近い（ちかい） | ちかい | gần |  |
| 1.3 | A | 遠い（とおい） | とおい | xa |  |
| 1.4 | A | 早い（はやい） | はやい | nhanh / sớm |  |
| 1.5 | A | 遅い（おそい） | おそい | chậm / muộn |  |
| 1.6 | A | 多い（おおい） | おおい | nhiều |  |
| 1.7 | A | 少ない（すくない） | すくない | ít |  |
| 1.8 | A | あたたかい | あたたかい | ấm |  |
| 1.9 | A | すずしい | すずしい | mát mẻ |  |
| 1.10 | A | あまい | あまい | ngọt |  |
| 2.1 | A | からい | からい | cay |  |
| 2.2 | A | 重い（おもい） | おもい | nặng |  |
| 2.3 | A | 軽い（かるい） | かるい | nhẹ |  |
| 2.4 | A | いい | いい | tốt |  |
| 2.5 | A | きせつ | きせつ | mùa |  |
| 2.6 | A | 春（はる） | はる | mùa xuân |  |
| 2.7 | A | 夏（なつ） | なつ | mùa hè |  |
| 2.8 | A | 秋（あき） | あき | mùa thu |  |
| 2.9 | A | 冬（ふゆ） | ふゆ | mùa đông |  |
| 2.10 | A | 天気（てんき） | てんき | thời tiết |  |
| 3.1 | A | 雨（あめ） | あめ | mưa |  |
| 3.2 | A | 雪（ゆき） | ゆき | tuyết |  |
| 3.3 | A | くもり | くもり | trời nhiều mây |  |
| 3.4 | A | ホテル | ホテル | khách sạn |  |
| 3.5 | A | 空港（くうこう） | くうこう | sân bay |  |
| 3.6 | A | 海（うみ） | うみ | biển |  |
| 3.7 | A | 世界（せかい） | せかい | thế giới |  |
| 3.8 | A | パーティー | パーティー | tiệc |  |
| 3.9 | A | まつり | まつり | lễ hội |  |
| 3.10 | A | ホテルは 空港（くうこう）の 近く（ちかく）です | ホテルは くうこうの ちかくです | khách sạn gần sân bay |  |
| 4.1 | A | すきやき | すきやき | món sukiyaki |  |
| 4.2 | A | さしみ | さしみ | sashimi |  |
| 4.3 | A | すし | すし | sushi |  |
| 4.4 | A | てんぷら | てんぷら | tempura |  |
| 4.5 | A | いけばな | いけばな | nghệ thuật cắm hoa |  |
| 4.6 | A | もみじ | もみじ | lá đỏ mùa thu |  |
| 4.7 | A | すきやきは どうですか | すきやきは どうですか | sukiyaki thế nào |  |
| 4.8 | A | はじめて すしを 食べます（たべます） | はじめて すしを たべます | lần đầu ăn sushi |  |
| 4.9 | A | 秋（あき）の もみじは きれいです | あきの もみじは きれいです | lá thu đẹp |  |
| 4.10 | A | いけばなは かんたんですか | いけばなは かんたんですか | cắm hoa dễ không |  |
| 5.1 | A | どちら | どちら | cái nào / bên nào |  |
| 5.2 | A | どちらも | どちらも | cả hai đều |  |
| 5.3 | A | ずっと | ずっと | hơn nhiều / suốt |  |
| 5.4 | A | はじめて | はじめて | lần đầu tiên |  |
| 5.5 | A | ただいま | ただいま | tôi đã về |  |
| 5.6 | A | おかえりなさい | おかえりなさい | mừng anh/chị về |  |
| 5.7 | A | すごいですね | すごいですね | tuyệt quá |  |
| 5.8 | A | でも | でも | nhưng |  |
| 5.9 | A | つかれました | つかれました | mệt rồi |  |
| 5.10 | A | どちらが いいですか | どちらが いいですか | cái nào tốt hơn |  |
| 6.1 | A | かんたん | かんたん | đơn giản / dễ |  |
| 6.2 | A | 近い（ちかい） | ちかい | gần |  |
| 6.3 | A | 遠い（とおい） | とおい | xa |  |
| 6.4 | A | 早い（はやい） | はやい | nhanh / sớm |  |
| 6.5 | A | 遅い（おそい） | おそい | chậm / muộn |  |
| 6.6 | A | 多い（おおい） | おおい | nhiều |  |
| 6.7 | A | 少ない（すくない） | すくない | ít |  |
| 6.8 | A | あたたかい | あたたかい | ấm |  |
| 6.9 | A | すずしい | すずしい | mát mẻ |  |
| 6.10 | A | あまい | あまい | ngọt |  |
| 7.1 | A | からい | からい | cay |  |
| 7.2 | A | 重い（おもい） | おもい | nặng |  |
| 7.3 | A | 軽い（かるい） | かるい | nhẹ |  |
| 7.4 | A | いい | いい | tốt |  |
| 7.5 | A | きせつ | きせつ | mùa |  |
| 7.6 | A | 春（はる） | はる | mùa xuân |  |
| 7.7 | A | 夏（なつ） | なつ | mùa hè |  |
| 7.8 | A | 秋（あき） | あき | mùa thu |  |
| 7.9 | A | 冬（ふゆ） | ふゆ | mùa đông |  |
| 7.10 | A | 天気（てんき） | てんき | thời tiết |  |
| 8.1 | A | 雨（あめ） | あめ | mưa |  |
| 8.2 | A | 雪（ゆき） | ゆき | tuyết |  |
| 8.3 | A | くもり | くもり | trời nhiều mây |  |
| 8.4 | A | ホテル | ホテル | khách sạn |  |
| 8.5 | A | 空港（くうこう） | くうこう | sân bay |  |
| 8.6 | A | 海（うみ） | うみ | biển |  |
| 8.7 | A | 世界（せかい） | せかい | thế giới |  |
| 8.8 | A | パーティー | パーティー | tiệc |  |
| 8.9 | A | まつり | まつり | lễ hội |  |
| 8.10 | A | もみじ | もみじ | lá đỏ mùa thu |  |
| 9.1 | A | すきやき | すきやき | món sukiyaki |  |
| 9.2 | A | さしみ | さしみ | sashimi |  |
| 9.3 | A | すし | すし | sushi |  |
| 9.4 | A | てんぷら | てんぷら | tempura |  |
