group_id,group_title,lesson,question_no,question_jp,meaning_vi,option_a,option_b,option_c,option_d
12,Đọc kanji,Mina bài 4,1,今 đọc là gì?,今 đọc là gì?,いま,きょう,あさ,ばん
12,Đọc kanji,Mina bài 4,2,時 đọc là gì?,時 đọc là gì?,じ,とき,ふん,はん
12,Đọc kanji,Mina bài 4,3,半 đọc là gì?,半 đọc là gì?,はん,ばん,ひる,あさ
12,Đọc kanji,Mina bài 4,4,午前 đọc là gì?,午前 đọc là gì?,ごぜん,ごご,あさ,ひる
12,Đọc kanji,Mina bài 4,5,午後 đọc là gì?,午後 đọc là gì?,ごご,ごぜん,よる,ばん
12,Đọc kanji,Mina bài 4,6,朝 đọc là gì?,朝 đọc là gì?,あさ,ひる,よる,けさ
12,Đọc kanji,Mina bài 4,7,昼 đọc là gì?,昼 đọc là gì?,ひる,あさ,ばん,よる
12,Đọc kanji,Mina bài 4,8,夜 đọc là gì?,夜 đọc là gì?,よる,ひる,あさ,ばん
12,Đọc kanji,Mina bài 4,9,今日 đọc là gì?,今日 đọc là gì?,きょう,きのう,あした,おととい
12,Đọc kanji,Mina bài 4,10,明日 đọc là gì?,明日 đọc là gì?,あした,きょう,きのう,あさって
