group_id,group_title,lesson,question_no,question_jp,romaji,meaning_vi,option_a,option_b,option_c,option_d
3,Điền từ vào chỗ trống,JLPT N5 20187,1,わたしの へやは この アパートの 2（   ）です。,,Phòng của tôi ở tầng 2 của căn hộ này.,ほん,だい,さつ,かい
3,Điền từ vào chỗ trống,JLPT N5 20187,2,その ナイフで りんごを（   ）ください。,,Hãy cắt táo bằng con dao đó.,しめて,おきて,きって,つけて
3,Điền từ vào chỗ trống,JLPT N5 20187,3,（   ）を わすれましたから、じかんが わかりません。,,Vì tôi quên đồng hồ nên không biết giờ.,じしょ,とけい,ちず,さいふ
3,Điền từ vào chỗ trống,JLPT N5 20187,4,わたしの うちは えきに ちかいですから、（   ）です。,,Nhà tôi gần ga nên tiện lợi.,じょうぶ,へた,いっぱい,べんり
3,Điền từ vào chỗ trống,JLPT N5 20187,5,なつやすみは まいにち（   ）で およぎました。,,"Kỳ nghỉ hè, mỗi ngày tôi đã bơi ở hồ bơi.",プール,レストラン,ビル,エレベーター
3,Điền từ vào chỗ trống,JLPT N5 20187,6,しらない ことばが ありましたから、せんせいに（   ）しました。,,Vì có từ không biết nên tôi đã hỏi giáo viên.,しつもん,じゅぎょう,べんきょう,れんしゅう
3,Điền từ vào chỗ trống,JLPT N5 20187,7,この へやは あついですから、（   ）を あけましょう。,,Phòng này nóng nên mở cửa sổ nhé.,おふろ,まど,エアコン,テーブル
3,Điền từ vào chỗ trống,JLPT N5 20187,8,きのうは がっこうで たくさん かんじを（   ）。,,Hôm qua ở trường tôi đã nhớ/học thuộc nhiều Kanji.,おぼえました,こまりました,もちました,うりました
3,Điền từ vào chỗ trống,JLPT N5 20187,9,この コーヒーは、さとうを たくさん いれましたから、（   ）です。,,Cà phê này vì cho nhiều đường nên ngọt.,からい,あまい,まるい,わかい
3,Điền từ vào chỗ trống,JLPT N5 20187,10,つよい かぜが（   ）います。,,Gió mạnh đang thổi.,いそいで,はしって,とんで,ふいて
