group_id,group_title,lesson,question_no,question_jp,meaning_vi,option_a,option_b,option_c,option_d
8,Điền vào câu / ngữ cảnh,Mina bài 20,1,＿＿＿は かんたんです。,Chọn đáp án phù hợp.,はじめ,おわり,ぶっか,ビザ
8,Điền vào câu / ngữ cảnh,Mina bài 20,2,＿＿＿は たいへんです。,Chọn đáp án phù hợp.,おわり,はじめ,こっち,そっち
8,Điền vào câu / ngữ cảnh,Mina bài 20,3,＿＿＿、大阪（おおさか）へ 行きました（いきました）。,Chọn đáp án phù hợp.,このあいだ,どっち,けど,よかったら
8,Điền vào câu / ngữ cảnh,Mina bài 20,4,日本語（にほんご）の＿＿＿を しらべます。,Chọn đáp án phù hợp.,ことば,きもの,ビザ,ぶっか
8,Điền vào câu / ngữ cảnh,Mina bài 20,5,日本（にほん）の＿＿＿は 高い（たかい）です。,Chọn đáp án phù hợp.,ぶっか,ことば,きもの,こっち
8,Điền vào câu / ngữ cảnh,Mina bài 20,6,京都（きょうと）で＿＿＿を 買いました（かいました）。,Chọn đáp án phù hợp.,きもの,ビザ,ぶっか,けど
8,Điền vào câu / ngữ cảnh,Mina bài 20,7,日本（にほん）へ 行きます（いきます）。＿＿＿が いります。,Chọn đáp án phù hợp.,ビザ,おわり,こっち,きみ
8,Điền vào câu / ngữ cảnh,Mina bài 20,8,いろいろ したいです。＿＿＿、時間（じかん）が ありません。,Chọn đáp án phù hợp.,けど,よかったら,うん,ううん
8,Điền vào câu / ngữ cảnh,Mina bài 20,9,＿＿＿、いっしょに 行きませんか。,Chọn đáp án phù hợp.,よかったら,けど,おわり,あっち
8,Điền vào câu / ngữ cảnh,Mina bài 20,10,＿＿＿。何（なに）を しますか。,Chọn đáp án phù hợp.,どうしようかな,くにへ かえるの,うん,ううん
