group_id,group_title,lesson,question_no,question_jp,meaning_vi,option_a,option_b,option_c,option_d
10,Việt → Nhật / gia đình,Mina bài 11,1,“thư hàng không” là từ nào?,“thư hàng không” là từ nào?,エアメール,ふなびん,かきとめ,そくたつ
10,Việt → Nhật / gia đình,Mina bài 11,2,“thư đường biển” là từ nào?,“thư đường biển” là từ nào?,ふなびん,エアメール,こうくうびん,かきとめ
10,Việt → Nhật / gia đình,Mina bài 11,3,“bố mẹ” là từ nào?,“bố mẹ” là từ nào?,りょうしん,きょうだい,あに,あね
10,Việt → Nhật / gia đình,Mina bài 11,4,“anh chị em” là từ nào?,“anh chị em” là từ nào?,きょうだい,りょうしん,おとうと,いもうと
10,Việt → Nhật / gia đình,Mina bài 11,5,“anh trai tôi” là từ nào?,“anh trai tôi” là từ nào?,あに,おにいさん,あね,おとうと
10,Việt → Nhật / gia đình,Mina bài 11,6,“anh trai” là từ nào?,“anh trai” là từ nào?,おにいさん,あに,おねえさん,おとうとさん
10,Việt → Nhật / gia đình,Mina bài 11,7,“chị gái tôi” là từ nào?,“chị gái tôi” là từ nào?,あね,おねえさん,あに,いもうと
10,Việt → Nhật / gia đình,Mina bài 11,8,“chị gái” là từ nào?,“chị gái” là từ nào?,おねえさん,あね,いもうとさん,おとうとさん
10,Việt → Nhật / gia đình,Mina bài 11,9,“em trai tôi” là từ nào?,“em trai tôi” là từ nào?,おとうと,おとうとさん,あに,おにいさん
10,Việt → Nhật / gia đình,Mina bài 11,10,“em gái tôi” là từ nào?,“em gái tôi” là từ nào?,いもうと,いもうとさん,あね,おねえさん
