group_id,group_title,lesson,question_no,question_jp,romaji,meaning_vi,option_a,option_b,option_c,option_d
10,Chọn kanji đúng,Mina bài 20,1,“tra cứu / tìm hiểu” viết bằng kanji nào?,,Chọn kanji đúng.,調べます,直します,修理します,電話します
10,Chọn kanji đúng,Mina bài 20,2,“sửa / chữa” viết bằng kanji nào?,,Chọn kanji đúng.,直します,調べます,電話します,使います
10,Chọn kanji đúng,Mina bài 20,3,“sửa chữa” viết bằng kanji nào?,,Chọn kanji đúng.,修理します,直します,調べます,勉強します
10,Chọn kanji đúng,Mina bài 20,4,“gọi điện thoại” viết bằng kanji nào?,,Chọn kanji đúng.,電話します,修理します,調べます,予約します
10,Chọn kanji đúng,Mina bài 20,5,“từ / ngôn ngữ” viết bằng kanji nào?,,Chọn kanji đúng.,言葉,物価,着物,国
10,Chọn kanji đúng,Mina bài 20,6,“giá cả / vật giá” viết bằng kanji nào?,,Chọn kanji đúng.,物価,言葉,着物,物
10,Chọn kanji đúng,Mina bài 20,7,“kimono” viết bằng kanji nào?,,Chọn kanji đúng.,着物,言葉,物価,服
10,Chọn kanji đúng,Mina bài 20,8,“đầu / ban đầu” viết bằng kanji nào?,,Chọn kanji đúng.,初め,終わり,始めます,初日
10,Chọn kanji đúng,Mina bài 20,9,“cuối / kết thúc” viết bằng kanji nào?,,Chọn kanji đúng.,終わり,初め,終わります,最後
10,Chọn kanji đúng,Mina bài 20,10,“nước / quốc gia” viết bằng kanji nào?,,Chọn kanji đúng.,国,図,口,日
