group_id,group_title,lesson,question_no,question_jp,romaji,meaning_vi,option_a,option_b,option_c,option_d
6,Ngày đặc biệt,Mina bài 5,1,むいか nghĩa là gì?,muika nghĩa là gì?,むいか,ngày mùng 6 / 6 ngày,ngày mùng 7 / 7 ngày,ngày mùng 8 / 8 ngày,ngày mùng 9 / 9 ngày
6,Ngày đặc biệt,Mina bài 5,2,なのか nghĩa là gì?,nanoka nghĩa là gì?,なのか,ngày mùng 7 / 7 ngày,ngày mùng 6 / 6 ngày,ngày mùng 8 / 8 ngày,ngày mùng 10 / 10 ngày
6,Ngày đặc biệt,Mina bài 5,3,ようか nghĩa là gì?,youka nghĩa là gì?,ようか,ngày mùng 8 / 8 ngày,ngày mùng 7 / 7 ngày,ngày mùng 9 / 9 ngày,ngày mùng 4 / 4 ngày
6,Ngày đặc biệt,Mina bài 5,4,ここのか nghĩa là gì?,kokonoka nghĩa là gì?,ここのか,ngày mùng 9 / 9 ngày,ngày mùng 8 / 8 ngày,ngày mùng 10 / 10 ngày,ngày 20 / 20 ngày
6,Ngày đặc biệt,Mina bài 5,5,とおか nghĩa là gì?,tooka nghĩa là gì?,とおか,ngày mùng 10 / 10 ngày,ngày mùng 9 / 9 ngày,ngày 20 / 20 ngày,ngày 14
6,Ngày đặc biệt,Mina bài 5,6,はつか nghĩa là gì?,hatsuka nghĩa là gì?,はつか,ngày 20 / 20 ngày,ngày mùng 10 / 10 ngày,ngày 24,ngày mùng 1
6,Ngày đặc biệt,Mina bài 5,7,じゅうよっか nghĩa là gì?,juuyokka nghĩa là gì?,じゅうよっか,ngày 14,ngày 24,ngày 4,ngày 10
6,Ngày đặc biệt,Mina bài 5,8,にじゅうよっか nghĩa là gì?,nijuuyokka nghĩa là gì?,にじゅうよっか,ngày 24,ngày 14,ngày 20,ngày 4
6,Ngày đặc biệt,Mina bài 5,9,たんじょうびは いつですか nghĩa là gì?,tanjoubiha itsudesuka nghĩa là gì?,たんじょうびは いつですか,Sinh nhật là khi nào?,Hôm nay là ngày mấy?,Tháng này là tháng mấy?,Năm nay là năm nào?
6,Ngày đặc biệt,Mina bài 5,10,たんじょうびは ふつかです nghĩa là gì?,tanjoubiha futsukadesu nghĩa là gì?,たんじょうびは ふつかです,Sinh nhật là ngày mùng 2.,Sinh nhật là ngày mùng 3.,Sinh nhật là ngày mùng 10.,Sinh nhật là ngày 20.
