group_id,group_title,lesson,question_no,question_jp,romaji,meaning_vi,option_a,option_b,option_c,option_d
7,Việt → Nhật / động từ và tính từ,Mina bài 9,1,“hiểu” là từ nào?,“hiểu” la tu nao?,“hiểu” là từ nào?,わかります,あります,すき,じょうず
7,Việt → Nhật / động từ và tính từ,Mina bài 9,2,“có” là từ nào?,“có” la tu nao?,“có” là từ nào?,あります,わかります,きらい,へた
7,Việt → Nhật / động từ và tính từ,Mina bài 9,3,“thích” là từ nào?,“thích” la tu nao?,“thích” là từ nào?,すき,きらい,じょうず,へた
7,Việt → Nhật / động từ và tính từ,Mina bài 9,4,“ghét / không thích” là từ nào?,“ghét / không thích” la tu nao?,“ghét / không thích” là từ nào?,きらい,すき,じょうず,あります
7,Việt → Nhật / động từ và tính từ,Mina bài 9,5,“giỏi” là từ nào?,“giỏi” la tu nao?,“giỏi” là từ nào?,じょうず,へた,すき,わかります
7,Việt → Nhật / động từ và tính từ,Mina bài 9,6,“kém / dở” là từ nào?,“kém / dở” la tu nao?,“kém / dở” là từ nào?,へた,じょうず,きらい,あります
7,Việt → Nhật / động từ và tính từ,Mina bài 9,7,“món ăn / nấu ăn” là từ nào?,“món ăn / nấu ăn” la tu nao?,“món ăn / nấu ăn” là từ nào?,りょうり,飲み物（のみもの）,スポーツ,音楽（おんがく）
7,Việt → Nhật / động từ và tính từ,Mina bài 9,8,“đồ uống” là từ nào?,“đồ uống” la tu nao?,“đồ uống” là từ nào?,飲み物（のみもの）,りょうり,うた,絵（え）
7,Việt → Nhật / động từ và tính từ,Mina bài 9,9,“thể thao” là từ nào?,“thể thao” la tu nao?,“thể thao” là từ nào?,スポーツ,やきゅう,ダンス,コンサート
7,Việt → Nhật / động từ và tính từ,Mina bài 9,10,“bóng chày” là từ nào?,“bóng chày” la tu nao?,“bóng chày” là từ nào?,やきゅう,スポーツ,ダンス,カラオケ
