group_id,group_title,lesson,question_no,question_jp,romaji,meaning_vi,option_a,option_b,option_c,option_d
12,Đọc kanji,Mina bài 16,1,乗ります đọc là gì?,乗 rimasu c l g,Chọn cách đọc đúng.,のります,おります,のりかえます,はいります
12,Đọc kanji,Mina bài 16,2,降ります đọc là gì?,降 rimasu c l g,Chọn cách đọc đúng.,おります,のります,でます,やめます
12,Đọc kanji,Mina bài 16,3,入れます đọc là gì?,入 remasu c l g,Chọn cách đọc đúng.,いれます,はいります,だします,でます
12,Đọc kanji,Mina bài 16,4,出します đọc là gì?,出 shimasu c l g,Chọn cách đọc đúng.,だします,でます,いれます,おします
12,Đọc kanji,Mina bài 16,5,入ります đọc là gì?,入 rimasu c l g,Chọn cách đọc đúng.,はいります,いれます,でます,のります
12,Đọc kanji,Mina bài 16,6,出ます đọc là gì?,出 masu c l g,Chọn cách đọc đúng.,でます,だします,はいります,おります
12,Đọc kanji,Mina bài 16,7,若い đọc là gì?,若 i c l g,Chọn cách đọc đúng.,わかい,ながい,みじかい,あかるい
12,Đọc kanji,Mina bài 16,8,長い đọc là gì?,長 i c l g,Chọn cách đọc đúng.,ながい,みじかい,わかい,くらい
12,Đọc kanji,Mina bài 16,9,短い đọc là gì?,短 i c l g,Chọn cách đọc đúng.,みじかい,ながい,あかるい,くらい
12,Đọc kanji,Mina bài 16,10,明るい đọc là gì?,明 rui c l g,Chọn cách đọc đúng.,あかるい,くらい,わかい,ながい
