group_id,group_title,lesson,question_no,question_jp,meaning_vi,option_a,option_b,option_c,option_d
10,Đọc kanji,Mina bài 18,1,課長 đọc là gì?,Chọn đáp án phù hợp.,かちょう,ぶちょう,しゃちょう,かいしゃ
10,Đọc kanji,Mina bài 18,2,部長 đọc là gì?,Chọn đáp án phù hợp.,ぶちょう,かちょう,しゃちょう,しゃいん
10,Đọc kanji,Mina bài 18,3,社長 đọc là gì?,Chọn đáp án phù hợp.,しゃちょう,ぶちょう,かちょう,かいしゃいん
10,Đọc kanji,Mina bài 18,4,動物 đọc là gì?,Chọn đáp án phù hợp.,どうぶつ,どうもの,どうぶち,うま
10,Đọc kanji,Mina bài 18,5,馬 đọc là gì?,Chọn đáp án phù hợp.,うま,いぬ,ねこ,ぞう
10,Đọc kanji,Mina bài 18,6,牧場 đọc là gì?,Chọn đáp án phù hợp.,ぼくじょう,まきば,ぼくば,ぼじょう
10,Đọc kanji,Mina bài 18,7,現金 đọc là gì?,Chọn đáp án phù hợp.,げんきん,おかね,げんかね,きんげん
10,Đọc kanji,Mina bài 18,8,趣味 đọc là gì?,Chọn đáp án phù hợp.,しゅみ,しゅうみ,すみ,しみ
10,Đọc kanji,Mina bài 18,9,日記 đọc là gì?,Chọn đáp án phù hợp.,にっき,にちき,ひき,にき
10,Đọc kanji,Mina bài 18,10,歌 đọc là gì?,Chọn đáp án phù hợp.,うた,おんがく,こえ,ことば
