group_id,group_title,lesson,question_no,question_jp,romaji,meaning_vi,option_a,option_b,option_c,option_d
1,Động từ mặc / đeo,Mina bài 22,1,着ます（きます）,kimasu,Nghĩa là gì?,mặc,đội,đeo kính,mang giày
1,Động từ mặc / đeo,Mina bài 22,2,はきます,hakimasu,Nghĩa là gì?,mặc / mang,đội,đeo,thắt
1,Động từ mặc / đeo,Mina bài 22,3,かぶります,kaburimasu,Nghĩa là gì?,đội,mặc áo,mang giày,đeo kính
1,Động từ mặc / đeo,Mina bài 22,4,かけます,kakemasu,Nghĩa là gì?,đeo,đội,mặc quần,thắt cà vạt
1,Động từ mặc / đeo,Mina bài 22,5,します,shimasu,Nghĩa là gì?,đeo / thắt,đội,mặc áo,mang giày
1,Động từ mặc / đeo,Mina bài 22,6,コートを 着ます（きます）,kotowo kimasu,Nghĩa là gì?,mặc áo khoác dài,đội áo khoác,mang áo khoác,đeo áo khoác
1,Động từ mặc / đeo,Mina bài 22,7,くつを はきます,kutsuwo hakimasu,Nghĩa là gì?,mang giày,mặc áo,đội mũ,đeo kính
1,Động từ mặc / đeo,Mina bài 22,8,ぼうしを かぶります,boushiwo kaburimasu,Nghĩa là gì?,đội mũ,mang mũ,mặc mũ,thắt mũ
1,Động từ mặc / đeo,Mina bài 22,9,めがねを かけます,meganewo kakemasu,Nghĩa là gì?,đeo kính,đội kính,mặc kính,mang kính
1,Động từ mặc / đeo,Mina bài 22,10,ネクタイを します,nekutaiwo shimasu,Nghĩa là gì?,thắt cà vạt,đội cà vạt,mặc cà vạt,mang cà vạt
