group_id,group_title,lesson,question_no,question_jp,meaning_vi,option_a,option_b,option_c,option_d
8,Việt → Nhật / thông tin và đồ vật,Mina bài 14,1,“tên” là từ nào?,“tên” là từ nào?,名前（なまえ）,じゅうしょ,地図（ちず）,読み方（よみかた）
8,Việt → Nhật / thông tin và đồ vật,Mina bài 14,2,“địa chỉ” là từ nào?,“địa chỉ” là từ nào?,じゅうしょ,名前（なまえ）,しお,さとう
8,Việt → Nhật / thông tin và đồ vật,Mina bài 14,3,“bản đồ” là từ nào?,“bản đồ” là từ nào?,地図（ちず）,じゅうしょ,パスポート,エアコン
8,Việt → Nhật / thông tin và đồ vật,Mina bài 14,4,“muối” là từ nào?,“muối” là từ nào?,しお,さとう,おつり,名前（なまえ）
8,Việt → Nhật / thông tin và đồ vật,Mina bài 14,5,“đường” là từ nào?,“đường” là từ nào?,さとう,しお,地図（ちず）,じゅうしょ
8,Việt → Nhật / thông tin và đồ vật,Mina bài 14,6,“cách đọc” là từ nào?,“cách đọc” là từ nào?,読み方（よみかた）,名前（なまえ）,〜かた,地図（ちず）
8,Việt → Nhật / thông tin và đồ vật,Mina bài 14,7,“cách...” là từ nào?,“cách...” là từ nào?,〜かた,また,もう,あとで
8,Việt → Nhật / thông tin và đồ vật,Mina bài 14,8,“chậm / thong thả” là từ nào?,“chậm / thong thả” là từ nào?,ゆっくり,すぐ,また,まっすぐ
8,Việt → Nhật / thông tin và đồ vật,Mina bài 14,9,“ngay lập tức” là từ nào?,“ngay lập tức” là từ nào?,すぐ,ゆっくり,あとで,もう すこし
8,Việt → Nhật / thông tin và đồ vật,Mina bài 14,10,“tiền thối lại” là từ nào?,“tiền thối lại” là từ nào?,おつり,さとう,しお,パスポート
