group_id,group_title,lesson,question_no,question_jp,meaning_vi,option_a,option_b,option_c,option_d
4,Gia đình / trạng thái,Mina bài 7,1,クリスマス,Nghĩa là gì?,Giáng sinh,thiệp năm mới,quà tặng,sinh nhật
4,Gia đình / trạng thái,Mina bài 7,2,父（ちち）,Nghĩa là gì?,bố tôi,mẹ tôi,bố,mẹ
4,Gia đình / trạng thái,Mina bài 7,3,母（はは）,Nghĩa là gì?,mẹ tôi,bố tôi,mẹ,bố
4,Gia đình / trạng thái,Mina bài 7,4,おとうさん,Nghĩa là gì?,bố,mẹ,bố tôi,mẹ tôi
4,Gia đình / trạng thái,Mina bài 7,5,おかあさん,Nghĩa là gì?,mẹ,bố,mẹ tôi,bố tôi
4,Gia đình / trạng thái,Mina bài 7,6,もう,Nghĩa là gì?,đã... rồi,chưa,từ bây giờ,bằng gì
4,Gia đình / trạng thái,Mina bài 7,7,まだ,Nghĩa là gì?,chưa,đã... rồi,từ ai,cho ai
4,Gia đình / trạng thái,Mina bài 7,8,これから,Nghĩa là gì?,từ bây giờ / sau đây,đã... rồi,chưa,bằng gì
4,Gia đình / trạng thái,Mina bài 7,9,すてきですね,Nghĩa là gì?,đẹp quá / tuyệt quá,xin phép,mời vào,cảm ơn vì bữa ăn
4,Gia đình / trạng thái,Mina bài 7,10,ごめんください,Nghĩa là gì?,xin phép / có ai ở nhà không,mời vào / chào mừng,mời ăn,tôi hiểu rồi
