group_id,group_title,lesson,question_no,question_jp,romaji,meaning_vi,option_a,option_b,option_c,option_d
17,Chọn kanji đúng / xã hội và thiên nhiên,Mina bài 21,1,“thắng” viết bằng kanji nào?,Thng vit bng kanji no?,“thắng” viết bằng kanji nào?,勝ちます,負けます,足ります,動きます
17,Chọn kanji đúng / xã hội và thiên nhiên,Mina bài 21,2,“thua” viết bằng kanji nào?,Thua vit bng kanji no?,“thua” viết bằng kanji nào?,負けます,勝ちます,やめます,言います
17,Chọn kanji đúng / xã hội và thiên nhiên,Mina bài 21,3,“trận đấu” viết bằng kanji nào?,Trn u vit bng kanji no?,“trận đấu” viết bằng kanji nào?,試合,意見,話,試験
17,Chọn kanji đúng / xã hội và thiên nhiên,Mina bài 21,4,“chú ý / cẩn thận” viết bằng kanji nào?,Ch / cn thn vit bng kanji no?,“chú ý / cẩn thận” viết bằng kanji nào?,気をつけます,気にします,気があります,気をします
17,Chọn kanji đúng / xã hội và thiên nhiên,Mina bài 21,5,“Trái Đất” viết bằng kanji nào?,Tri t vit bng kanji no?,“Trái Đất” viết bằng kanji nào?,地球,月,世界,日本
17,Chọn kanji đúng / xã hội và thiên nhiên,Mina bài 21,6,“mặt trăng” viết bằng kanji nào?,Mt trng vit bng kanji no?,“mặt trăng” viết bằng kanji nào?,月,日,地球,星
17,Chọn kanji đúng / xã hội và thiên nhiên,Mina bài 21,7,“tôi” viết bằng kanji nào?,Ti vit bng kanji no?,“tôi” viết bằng kanji nào?,私,僕,君,人
17,Chọn kanji đúng / xã hội và thiên nhiên,Mina bài 21,8,“ô tô / xe hơi” viết bằng kanji nào?,T / xe hi vit bng kanji no?,“ô tô / xe hơi” viết bằng kanji nào?,自動車,自転車,電車,車
17,Chọn kanji đúng / xã hội và thiên nhiên,Mina bài 21,9,“tin tức” viết bằng từ nào?,Tin tc vit bng t no?,“tin tức” viết bằng từ nào?,ニュース,アニメ,マンガ,デザイン
17,Chọn kanji đúng / xã hội và thiên nhiên,Mina bài 21,10,“thiết kế” viết bằng từ nào?,Thit k vit bng t no?,“thiết kế” viết bằng từ nào?,デザイン,ニュース,アニメ,マンガ
