group_id,group_title,lesson,question_no,question_jp,romaji,meaning_vi,option_a,option_b,option_c,option_d
5,Việt → Nhật / người và đồ vật,Mina bài 24,1,“dạy / chỉ cho biết” là từ nào?,“dạy / chỉ cho biết” là từ nào,“dạy / chỉ cho biết” là từ nào?,教えます（おしえます）,書きます（かきます）,呼びます（よびます）,持ちます（もちます）
5,Việt → Nhật / người và đồ vật,Mina bài 24,2,“viết” là từ nào?,“viết” là từ nào,“viết” là từ nào?,書きます（かきます）,教えます（おしえます）,案内します（あんないします）,説明します（せつめいします）
5,Việt → Nhật / người và đồ vật,Mina bài 24,3,“gọi” là từ nào?,“gọi” là từ nào,“gọi” là từ nào?,呼びます（よびます）,書きます（かきます）,貸します（かします）,入れます（いれます）
5,Việt → Nhật / người và đồ vật,Mina bài 24,4,“cầm / mang” là từ nào?,“cầm / mang” là từ nào,“cầm / mang” là từ nào?,持ちます（もちます）,呼びます（よびます）,書きます（かきます）,くれます
5,Việt → Nhật / người và đồ vật,Mina bài 24,5,“ông / cụ ông” là từ nào?,“ông / cụ ông” là từ nào,“ông / cụ ông” là từ nào?,おじいさん,おばあさん,おじいちゃん,おばあちゃん
5,Việt → Nhật / người và đồ vật,Mina bài 24,6,“bà / cụ bà” là từ nào?,“bà / cụ bà” là từ nào,“bà / cụ bà” là từ nào?,おばあさん,おじいさん,おじいちゃん,おとうさん
5,Việt → Nhật / người và đồ vật,Mina bài 24,7,“chuẩn bị” là từ nào?,“chuẩn bị” là từ nào,“chuẩn bị” là từ nào?,準備（じゅんび）,引っ越し（ひっこし）,全部（ぜんぶ）,自分で（じぶんで）
5,Việt → Nhật / người và đồ vật,Mina bài 24,8,“chuyển nhà” là từ nào?,“chuyển nhà” là từ nào,“chuyển nhà” là từ nào?,引っ越し（ひっこし）,準備（じゅんび）,母の日（ははのひ）,ほかに
5,Việt → Nhật / người và đồ vật,Mina bài 24,9,“bánh kẹo” là từ nào?,“bánh kẹo” là từ nào,“bánh kẹo” là từ nào?,おかし,お弁当（おべんとう）,プレゼント,ワゴンしゃ
5,Việt → Nhật / người và đồ vật,Mina bài 24,10,“cơm hộp” là từ nào?,“cơm hộp” là từ nào,“cơm hộp” là từ nào?,お弁当（おべんとう）,おかし,プレゼント,母の日（ははのひ）
