group_id,group_title,lesson,question_no,question_jp,romaji,meaning_vi,option_a,option_b,option_c,option_d
9,Điền vào câu / đường đi,Mina bài 23,1,駅（えき）まで＿＿＿。,,,歩きます（あるきます）,回します（まわします）,引きます（ひきます）,出ます（でます）
9,Điền vào câu / đường đi,Mina bài 23,2,道（みち）を＿＿＿。,,,わたります,かえます,さわります,聞きます（ききます）
9,Điền vào câu / đường đi,Mina bài 23,3,右（みぎ）へ＿＿＿。,,,まがります,歩きます（あるきます）,わたります,出ます（でます）
9,Điền vào câu / đường đi,Mina bài 23,4,左（ひだり）へ＿＿＿。,,,まがります,聞きます（ききます）,さわります,こしょう
9,Điền vào câu / đường đi,Mina bài 23,5,この 道（みち）を＿＿＿ 行きます（いきます）。,,,まっすぐ,どれ,サイズ,さびしい
9,Điền vào câu / đường đi,Mina bài 23,6,こうさてんを 右（みぎ）へ＿＿＿。,,,まがります,わたります,出ます（でます）,引きます（ひきます）
9,Điền vào câu / đường đi,Mina bài 23,7,しんごうを＿＿＿。,,,わたります,回します（まわします）,かえます,さわります
9,Điền vào câu / đường đi,Mina bài 23,8,角（かど）を 左（ひだり）へ＿＿＿。,,,まがります,出ます（でます）,うごきます,聞きます（ききます）
9,Điền vào câu / đường đi,Mina bài 23,9,はしを＿＿＿。,,,わたります,まがります,引きます（ひきます）,こしょう
9,Điền vào câu / đường đi,Mina bài 23,10,ちゅうしゃじょうに 車（くるま）が＿＿＿。,,,あります,出ます（でます）,聞きます（ききます）,回します（まわします） ---
