group_id,group_title,lesson,question_no,question_jp,romaji,meaning_vi,option_a,option_b,option_c,option_d
9,Việt → Nhật / thời gian,Mina bài 4,1,“bây giờ” là từ nào?,“bây giờ” là từ nào?,“bây giờ” là từ nào?,いま,きょう,けさ,こんばん
9,Việt → Nhật / thời gian,Mina bài 4,2,“mấy giờ” là từ nào?,“mấy giờ” là từ nào?,“mấy giờ” là từ nào?,なんじ,なんぷん,なんようび,なんばん
9,Việt → Nhật / thời gian,Mina bài 4,3,“mấy phút” là từ nào?,“mấy phút” là từ nào?,“mấy phút” là từ nào?,なんぷん,なんじ,なんようび,なんばん
9,Việt → Nhật / thời gian,Mina bài 4,4,“buổi sáng / AM” là từ nào?,“buổi sáng / AM” là từ nào?,“buổi sáng / AM” là từ nào?,ごぜん,ごご,ばん,ひる
9,Việt → Nhật / thời gian,Mina bài 4,5,“buổi chiều / PM” là từ nào?,“buổi chiều / PM” là từ nào?,“buổi chiều / PM” là từ nào?,ごご,ごぜん,あさ,けさ
9,Việt → Nhật / thời gian,Mina bài 4,6,“buổi sáng” là từ nào?,“buổi sáng” là từ nào?,“buổi sáng” là từ nào?,あさ,ひる,ばん,よる
9,Việt → Nhật / thời gian,Mina bài 4,7,“buổi trưa” là từ nào?,“buổi trưa” là từ nào?,“buổi trưa” là từ nào?,ひる,あさ,よる,こんばん
9,Việt → Nhật / thời gian,Mina bài 4,8,“buổi tối / đêm” là từ nào?,“buổi tối / đêm” là từ nào?,“buổi tối / đêm” là từ nào?,ばん / よる,あさ,ひる,けさ
9,Việt → Nhật / thời gian,Mina bài 4,9,“hôm nay” là từ nào?,“hôm nay” là từ nào?,“hôm nay” là từ nào?,きょう,きのう,あした,あさって
9,Việt → Nhật / thời gian,Mina bài 4,10,“ngày mai” là từ nào?,“ngày mai” là từ nào?,“ngày mai” là từ nào?,あした,きょう,きのう,おととい
