group_id,group_title,lesson,question_no,question_jp,romaji,meaning_vi,option_a,option_b,option_c,option_d
12,Phân biệt từ dễ nhầm,Mina bài 25,1,考えます（かんがえます） và 思います（おもいます） khác nhau thế nào?,,考えます（かんがえます） và 思います（おもいます） khác nhau thế nào?,考えます là suy nghĩ; 思います là nghĩ/cảm thấy,考えます là đến; 思います là suy nghĩ sâu,Cả hai đều là chuyển công tác,Cả hai đều là đủ
12,Phân biệt từ dễ nhầm,Mina bài 25,2,着きます（つきます） và 来ます（きます） khác nhau thế nào?,,着きます（つきます） và 来ます（きます） khác nhau thế nào?,着きます là đến nơi; 来ます là đến,着きます là mặc; 来ます là đến nơi,Cả hai đều là uống,Cả hai đều là đủ
12,Phân biệt từ dễ nhầm,Mina bài 25,3,取ります（とります） và 足ります（たります） khác nhau thế nào?,,取ります（とります） và 足ります（たります） khác nhau thế nào?,取ります là lấy/có tuổi; 足ります là đủ,取ります là đủ; 足ります là lấy,Cả hai đều là cơ hội,Cả hai đều là chuyển công tác
12,Phân biệt từ dễ nhầm,Mina bài 25,4,こと và チャンス khác nhau thế nào?,,こと và チャンス khác nhau thế nào?,こと là việc/chuyện; チャンス là cơ hội,こと là cơ hội; チャンス là việc/chuyện,Cả hai đều là quê,Cả hai đều là Nhật Bản
12,Phân biệt từ dễ nhầm,Mina bài 25,5,もし và いくら khác nhau thế nào?,,もし và いくら khác nhau thế nào?,もし là nếu như; いくら là dù bao nhiêu / bao nhiêu tiền,もし là bao nhiêu tiền; いくら là nếu như,Cả hai đều là cơ hội,Cả hai đều là chuyển công tác
12,Phân biệt từ dễ nhầm,Mina bài 25,6,田舎（いなか） và 東京（とうきょう） khác nhau thế nào?,,田舎（いなか） và 東京（とうきょう） khác nhau thế nào?,田舎 là quê/nông thôn; 東京 là Tokyo,田舎 là Tokyo; 東京 là quê,Cả hai đều là Việt Nam,Cả hai đều là cơ hội
12,Phân biệt từ dễ nhầm,Mina bài 25,7,日本（にほん） và ベトナム khác nhau thế nào?,,日本（にほん） và ベトナム khác nhau thế nào?,日本 là Nhật Bản; ベトナム là Việt Nam,日本 là Việt Nam; ベトナム là Nhật Bản,Cả hai đều là thành phố,Cả hai đều là Osaka
12,Phân biệt từ dễ nhầm,Mina bài 25,8,東京（とうきょう） và 大阪（おおさか） khác nhau thế nào?,,東京（とうきょう） và 大阪（おおさか） khác nhau thế nào?,東京 là Tokyo; 大阪 là Osaka,東京 là Osaka; 大阪 là Tokyo,Cả hai đều là quốc gia,Cả hai đều là nông thôn
12,Phân biệt từ dễ nhầm,Mina bài 25,9,転勤（てんきん） và 出張（しゅっちょう） khác nhau thế nào?,,転勤（てんきん） và 出張（しゅっちょう） khác nhau thế nào?,転勤 là chuyển công tác; 出張 là đi công tác,転勤 là đi công tác ngắn ngày; 出張 là chuyển nơi làm,Cả hai đều là quê,Cả hai đều là cơ hội
12,Phân biệt từ dễ nhầm,Mina bài 25,10,いろいろお世話になりました và どうぞお元気で khác nhau thế nào?,,いろいろお世話になりました và どうぞお元気で khác nhau thế nào?,Câu đầu là cảm ơn vì được giúp đỡ; câu sau là chúc mạnh khỏe,Câu đầu là chúc mạnh khỏe; câu sau là rủ uống,Cả hai đều là “uống một ly nhé”,Cả hai đều là “nếu có cơ hội”
