group_id,group_title,lesson,question_no,question_jp,romaji,meaning_vi,option_a,option_b,option_c,option_d
7,Việt → Nhật / đánh giá,Mina bài 21,1,“Tôi không nghĩ vậy” là câu nào?,Ti khng ngh vy l cu no?,“Tôi không nghĩ vậy” là câu nào?,私（わたし）はそう思いません（おもいません）,私（わたし）もそう思います（おもいます）,私（わたし）はそう言います（いいます）,私（わたし）はそうです
7,Việt → Nhật / đánh giá,Mina bài 21,2,“đủ” là từ nào?,L t no?,“đủ” là từ nào?,足ります（たります）,役に立ちます（やくにたちます）,むだ,不便（ふべん）
7,Việt → Nhật / đánh giá,Mina bài 21,3,“có ích” là từ nào?,C ch l t no?,“có ích” là từ nào?,役に立ちます（やくにたちます）,足ります（たります）,むだ,仕方がありません（しかたがありません）
7,Việt → Nhật / đánh giá,Mina bài 21,4,“lãng phí / vô ích” là từ nào?,Lng ph / v ch l t no?,“lãng phí / vô ích” là từ nào?,むだ,役に立ちます（やくにたちます）,不便（ふべん）,もちろん
7,Việt → Nhật / đánh giá,Mina bài 21,5,“bất tiện” là từ nào?,Bt tin l t no?,“bất tiện” là từ nào?,不便（ふべん）,便利（べんり）,むだ,すごい
7,Việt → Nhật / đánh giá,Mina bài 21,6,“tuyệt vời / ghê” là từ nào?,Tuyt vi / gh l t no?,“tuyệt vời / ghê” là từ nào?,すごい,不便（ふべん）,むだ,そんなに
7,Việt → Nhật / đánh giá,Mina bài 21,7,“không còn cách nào khác” là câu nào?,Khng cn cch no khc l cu no?,“không còn cách nào khác” là câu nào?,仕方がありません（しかたがありません）,もちろん,たぶん,どうですか
7,Việt → Nhật / đánh giá,Mina bài 21,8,“tất nhiên” là từ nào?,Tt nhin l t no?,“tất nhiên” là từ nào?,もちろん,たぶん,きっと,最近（さいきん）
7,Việt → Nhật / đánh giá,Mina bài 21,9,“có lẽ” là từ nào?,C l l t no?,“có lẽ” là từ nào?,たぶん,きっと,もちろん,本当に（ほんとうに）
7,Việt → Nhật / đánh giá,Mina bài 21,10,“chắc chắn / nhất định” là từ nào?,Chc chn / nht nh l t no?,“chắc chắn / nhất định” là từ nào?,きっと,たぶん,そんなに,最近（さいきん）
