group_id,group_title,lesson,question_no,question_jp,meaning_vi,option_a,option_b,option_c,option_d
2,Số đếm / lượng từ,Mina bài 11,1,ななつ nghĩa là gì?,Hỏi nghĩa tiếng Việt của từ/cụm: ななつ,bảy cái,tám cái,chín cái,mười cái
2,Số đếm / lượng từ,Mina bài 11,2,やっつ nghĩa là gì?,Hỏi nghĩa tiếng Việt của từ/cụm: やっつ,tám cái,bảy cái,chín cái,mười cái
2,Số đếm / lượng từ,Mina bài 11,3,ここのつ nghĩa là gì?,Hỏi nghĩa tiếng Việt của từ/cụm: ここのつ,chín cái,tám cái,bảy cái,mười cái
2,Số đếm / lượng từ,Mina bài 11,4,とお nghĩa là gì?,Hỏi nghĩa tiếng Việt của từ/cụm: とお,mười cái,chín cái,tám cái,bao nhiêu cái
2,Số đếm / lượng từ,Mina bài 11,5,いくつ nghĩa là gì?,Hỏi nghĩa tiếng Việt của từ/cụm: いくつ,bao nhiêu cái,bao nhiêu người,bao lâu,tổng cộng
2,Số đếm / lượng từ,Mina bài 11,6,ひとり nghĩa là gì?,Hỏi nghĩa tiếng Việt của từ/cụm: ひとり,một người,một cái,một lần,một tờ
2,Số đếm / lượng từ,Mina bài 11,7,ふたり nghĩa là gì?,Hỏi nghĩa tiếng Việt của từ/cụm: ふたり,hai người,hai cái,hai lần,hai tờ
2,Số đếm / lượng từ,Mina bài 11,8,～にん nghĩa là gì?,Hỏi nghĩa tiếng Việt của từ/cụm: ～にん,... người,... cái / chiếc,... tờ / cái mỏng,... lần
2,Số đếm / lượng từ,Mina bài 11,9,～だい nghĩa là gì?,Hỏi nghĩa tiếng Việt của từ/cụm: ～だい,... cái / chiếc,... người,... tờ / cái mỏng,... tuần
2,Số đếm / lượng từ,Mina bài 11,10,～まい nghĩa là gì?,Hỏi nghĩa tiếng Việt của từ/cụm: ～まい,... tờ / cái mỏng,... người,... cái / chiếc,... năm
