group_id,group_title,lesson,question_no,question_jp,romaji,meaning_vi,option_a,option_b,option_c,option_d
11,Việt → Nhật / ngày tháng,Mina bài 5,1,“năm nào” là từ nào?,“năm nào” là từ nào?,năm nào,なんねん,なんがつ,なんにち,いつ
11,Việt → Nhật / ngày tháng,Mina bài 5,2,“tháng mấy” là từ nào?,“tháng mấy” là từ nào?,tháng mấy,なんがつ,なんねん,なんにち,たんじょうび
11,Việt → Nhật / ngày tháng,Mina bài 5,3,“ngày mấy” là từ nào?,“ngày mấy” là từ nào?,ngày mấy,なんにち,なんがつ,なんねん,いつ
11,Việt → Nhật / ngày tháng,Mina bài 5,4,“khi nào” là từ nào?,“khi nào” là từ nào?,khi nào,いつ,なんにち,なんがつ,なんねん
11,Việt → Nhật / ngày tháng,Mina bài 5,5,“sinh nhật” là từ nào?,“sinh nhật” là từ nào?,sinh nhật,たんじょうび,ふつか,ついたち,はつか
11,Việt → Nhật / ngày tháng,Mina bài 5,6,“ngày mùng 1” là từ nào?,“ngày mùng 1” là từ nào?,ngày mùng 1,ついたち,ふつか,みっか,とおか
11,Việt → Nhật / ngày tháng,Mina bài 5,7,“ngày mùng 6” là từ nào?,“ngày mùng 6” là từ nào?,ngày mùng 6,むいか,なのか,ようか,ここのか
11,Việt → Nhật / ngày tháng,Mina bài 5,8,“ngày mùng 10” là từ nào?,“ngày mùng 10” là từ nào?,ngày mùng 10,とおか,はつか,じゅうよっか,にじゅうよっか
11,Việt → Nhật / ngày tháng,Mina bài 5,9,“ngày 20” là từ nào?,“ngày 20” là từ nào?,ngày 20,はつか,とおか,よっか,いつか
11,Việt → Nhật / ngày tháng,Mina bài 5,10,“ngày 24” là từ nào?,“ngày 24” là từ nào?,ngày 24,にじゅうよっか,じゅうよっか,はつか,ここのか
