group_id,group_title,lesson,question_no,question_jp,meaning_vi,option_a,option_b,option_c,option_d
12,Đọc kanji / câu hỏi,Mina bài 23,1,何回も đọc là gì?,,なんかいも,なにかいも,なんがいも,なんかも
12,Đọc kanji / câu hỏi,Mina bài 23,2,お願いします đọc là gì?,,おねがいします,おねがします,おがねいします,おねかいします
12,Đọc kanji / câu hỏi,Mina bài 23,3,何 đọc là gì?,,なん,なに,だれ,どこ
12,Đọc kanji / câu hỏi,Mina bài 23,4,駅 đọc là gì?,,えき,いき,えぎ,うき
12,Đọc kanji / câu hỏi,Mina bài 23,5,車 đọc là gì?,,くるま,でんしゃ,じどうしゃ,しゃ
12,Đọc kanji / câu hỏi,Mina bài 23,6,機械 đọc là gì?,,きかい,きがい,きけい,きこう
12,Đọc kanji / câu hỏi,Mina bài 23,7,先生 đọc là gì?,,せんせい,せんせ,せいせん,せんさい
12,Đọc kanji / câu hỏi,Mina bài 23,8,水 đọc là gì?,,みず,おゆ,すい,みつ
12,Đọc kanji / câu hỏi,Mina bài 23,9,行きます đọc là gì?,,いきます,きます,かえります,あるきます
12,Đọc kanji / câu hỏi,Mina bài 23,10,入ります đọc là gì?,,はいります,いれます,でます,だします ---
