group_id,group_title,lesson,question_no,question_jp,meaning_vi,option_a,option_b,option_c,option_d
16,Chọn kanji đúng,Mina bài 11,1,“một cái” viết bằng kanji nào?,Hỏi kanji đúng cho: “một cái”,一つ,二つ,一人,一枚
16,Chọn kanji đúng,Mina bài 11,2,“hai cái” viết bằng kanji nào?,Hỏi kanji đúng cho: “hai cái”,二つ,一つ,二人,二枚
16,Chọn kanji đúng,Mina bài 11,3,“ba cái” viết bằng kanji nào?,Hỏi kanji đúng cho: “ba cái”,三つ,三人,三枚,三回
16,Chọn kanji đúng,Mina bài 11,4,“một người” viết bằng kanji nào?,Hỏi kanji đúng cho: “một người”,一人,一つ,一枚,一台
16,Chọn kanji đúng,Mina bài 11,5,“hai người” viết bằng kanji nào?,Hỏi kanji đúng cho: “hai người”,二人,二つ,二枚,二台
16,Chọn kanji đúng,Mina bài 11,6,“thời gian” viết bằng kanji nào?,Hỏi kanji đúng cho: “thời gian”,時間,時計,時,間
16,Chọn kanji đúng,Mina bài 11,7,“nước ngoài” viết bằng kanji nào?,Hỏi kanji đúng cho: “nước ngoài”,外国,国外,外人,国人
16,Chọn kanji đúng,Mina bài 11,8,“bố mẹ” viết bằng kanji nào?,Hỏi kanji đúng cho: “bố mẹ”,両親,兄弟,兄,姉
16,Chọn kanji đúng,Mina bài 11,9,“anh chị em” viết bằng kanji nào?,Hỏi kanji đúng cho: “anh chị em”,兄弟,両親,家族,子供
16,Chọn kanji đúng,Mina bài 11,10,“anh trai tôi” viết bằng kanji nào?,Hỏi kanji đúng cho: “anh trai tôi”,兄,姉,弟,妹
