group_id,group_title,lesson,question_no,question_jp,romaji,meaning_vi,option_a,option_b,option_c,option_d
6,Việt → Nhật / cụm danh từ,Mina bài 24,1,“quà tặng” là từ nào?,“quà tặng” là từ nào,“quà tặng” là từ nào?,プレゼント,おかし,お弁当（おべんとう）,ワゴンしゃ
6,Việt → Nhật / cụm danh từ,Mina bài 24,2,“Ngày của Mẹ” là từ nào?,“Ngày của Mẹ” là từ nào,“Ngày của Mẹ” là từ nào?,母の日（ははのひ）,誕生日（たんじょうび）,引っ越し（ひっこし）,準備（じゅんび）
6,Việt → Nhật / cụm danh từ,Mina bài 24,3,“toàn bộ / tất cả” là từ nào?,“toàn bộ / tất cả” là từ nào,“toàn bộ / tất cả” là từ nào?,全部（ぜんぶ）,自分で（じぶんで）,ほかに,みんなで
6,Việt → Nhật / cụm danh từ,Mina bài 24,4,“tự mình” là từ nào?,“tự mình” là từ nào,“tự mình” là từ nào?,自分で（じぶんで）,全部（ぜんぶ）,ほかに,いっしょに
6,Việt → Nhật / cụm danh từ,Mina bài 24,5,“ngoài ra” là từ nào?,“ngoài ra” là từ nào,“ngoài ra” là từ nào?,ほかに,全部（ぜんぶ）,自分で（じぶんで）,まず
6,Việt → Nhật / cụm danh từ,Mina bài 24,6,“xe wagon” là từ nào?,“xe wagon” là từ nào,“xe wagon” là từ nào?,ワゴンしゃ,バス,タクシー,自動車（じどうしゃ）
6,Việt → Nhật / cụm danh từ,Mina bài 24,7,“đẹp / tuyệt” là từ nào?,“đẹp / tuyệt” là từ nào,“đẹp / tuyệt” là từ nào?,すてき,かわいい,便利（べんり）,大切（たいせつ）
6,Việt → Nhật / cụm danh từ,Mina bài 24,8,“món quà đẹp” là cụm nào?,“món quà đẹp” là cụm nào,“món quà đẹp” là cụm nào?,すてきな プレゼント,おいしい おかし,新しい（あたらしい） ワゴンしゃ,古い（ふるい） お弁当（おべんとう）
6,Việt → Nhật / cụm danh từ,Mina bài 24,9,“chuẩn bị chuyển nhà” là cụm nào?,“chuẩn bị chuyển nhà” là cụm nào,“chuẩn bị chuyển nhà” là cụm nào?,引っ越し（ひっこし）の 準備（じゅんび）,母の日（ははのひ）の プレゼント,自分で（じぶんで） 書きます（かきます）,おかしを 入れます（いれます）
6,Việt → Nhật / cụm danh từ,Mina bài 24,10,“toàn bộ cơm hộp” là cụm nào?,“toàn bộ cơm hộp” là cụm nào,“toàn bộ cơm hộp” là cụm nào?,お弁当（おべんとう）を 全部（ぜんぶ）,おかしを ほかに,プレゼントを 自分で（じぶんで）,ワゴンしゃを 準備（じゅんび）
