group_id,group_title,lesson,question_no,question_jp,meaning_vi,option_a,option_b,option_c,option_d
13,Điền vào câu / trạng từ,Mina bài 8,1,この まちは＿＿＿ にぎやかです。,Điền từ/cụm từ phù hợp vào chỗ trống.,とても,どれ,が,どう
13,Điền vào câu / trạng từ,Mina bài 8,2,この 食べ物（たべもの）は＿＿＿ おいしいです。,Điền từ/cụm từ phù hợp vào chỗ trống.,とても,どんな,が,そして
13,Điền vào câu / trạng từ,Mina bài 8,3,この ほんは＿＿＿ おもしろくないです。,Điền từ/cụm từ phù hợp vào chỗ trống.,あまり,とても,そして,どれ
13,Điền vào câu / trạng từ,Mina bài 8,4,日本語（にほんご）は＿＿＿ むずかしくないです。,Điền từ/cụm từ phù hợp vào chỗ trống.,あまり,とても,どう,どんな
13,Điền vào câu / trạng từ,Mina bài 8,5,この りょうは きれいです。＿＿＿ べんりです。,Điền từ/cụm từ phù hợp vào chỗ trống.,そして,が,あまり,どれ
13,Điền vào câu / trạng từ,Mina bài 8,6,この みせは べんりです＿＿＿、たかいです。,Điền từ/cụm từ phù hợp vào chỗ trống.,が,そして,とても,どう
13,Điền vào câu / trạng từ,Mina bài 8,7,日本（にほん）の せいかつは＿＿＿ですか。,Điền từ/cụm từ phù hợp vào chỗ trống.,どう,どれ,とても,あまり
13,Điền vào câu / trạng từ,Mina bài 8,8,これは＿＿＿ まちですか。,Điền từ/cụm từ phù hợp vào chỗ trống.,どんな,どれ,が,そして
13,Điền vào câu / trạng từ,Mina bài 8,9,あなたの かばんは＿＿＿ですか。,Điền từ/cụm từ phù hợp vào chỗ trống.,どれ,どう,とても,あまり
13,Điền vào câu / trạng từ,Mina bài 8,10,おげんきですか。＿＿＿です。,Điền từ/cụm từ phù hợp vào chỗ trống.,げんき,どんな,が,あまり
