group_id,group_title,lesson,question_no,question_jp,meaning_vi,option_a,option_b,option_c,option_d
3,Cơ thể,Mina bài 16,1,体（からだ） nghĩa là gì?,Chọn nghĩa tiếng Việt đúng.,cơ thể,đầu,tóc,mặt
3,Cơ thể,Mina bài 16,2,頭（あたま） nghĩa là gì?,Chọn nghĩa tiếng Việt đúng.,đầu,cơ thể,mắt,tai
3,Cơ thể,Mina bài 16,3,髪（かみ） nghĩa là gì?,Chọn nghĩa tiếng Việt đúng.,tóc,giấy,mặt,răng
3,Cơ thể,Mina bài 16,4,顔（かお） nghĩa là gì?,Chọn nghĩa tiếng Việt đúng.,mặt,mắt,miệng,tai
3,Cơ thể,Mina bài 16,5,目（め） nghĩa là gì?,Chọn nghĩa tiếng Việt đúng.,mắt,tai,miệng,răng
3,Cơ thể,Mina bài 16,6,耳（みみ） nghĩa là gì?,Chọn nghĩa tiếng Việt đúng.,tai,mắt,đầu,mặt
3,Cơ thể,Mina bài 16,7,口（くち） nghĩa là gì?,Chọn nghĩa tiếng Việt đúng.,miệng,răng,bụng,chân
3,Cơ thể,Mina bài 16,8,歯（は） nghĩa là gì?,Chọn nghĩa tiếng Việt đúng.,răng,miệng,tai,mắt
3,Cơ thể,Mina bài 16,9,おなか nghĩa là gì?,Chọn nghĩa tiếng Việt đúng.,bụng,chân,đầu,mặt
3,Cơ thể,Mina bài 16,10,足（あし） nghĩa là gì?,Chọn nghĩa tiếng Việt đúng.,chân,bụng,răng,tóc
