group_id,group_title,lesson,question_no,question_jp,romaji,meaning_vi,option_a,option_b,option_c,option_d
20,Chọn trợ từ / cụm phù hợp / câu ngắn,Mina bài 23,1,駅（えき）まで どう＿＿＿ 行きますか。,,,やって,です,ます,め
20,Chọn trợ từ / cụm phù hợp / câu ngắn,Mina bài 23,2,＿＿＿ 道（みち）ですか。,,,どの,どれ,どうやって,何回も（なんかいも）
20,Chọn trợ từ / cụm phù hợp / câu ngắn,Mina bài 23,3,＿＿＿ が いいですか。,,,どれ,どの,どうやって,まっすぐ
20,Chọn trợ từ / cụm phù hợp / câu ngắn,Mina bài 23,4,2＿＿＿ の 角（かど）を 右（みぎ）へ まがります。,,,め,回（かい）,サイズ,おつり
20,Chọn trợ từ / cụm phù hợp / câu ngắn,Mina bài 23,5,この サイズ＿＿＿ かえてください。,,,に,を,で,が
20,Chọn trợ từ / cụm phù hợp / câu ngắn,Mina bài 23,6,これ＿＿＿ お願いします（おねがいします）。,,,で,に,を,が
20,Chọn trợ từ / cụm phù hợp / câu ngắn,Mina bài 23,7,おつり＿＿＿ ありますか。,,,が,を,に,で
20,Chọn trợ từ / cụm phù hợp / câu ngắn,Mina bài 23,8,ひとり＿＿＿ さびしいです。,,,で,に,を,が
20,Chọn trợ từ / cụm phù hợp / câu ngắn,Mina bài 23,9,この ボタンを 何回も（なんかいも）＿＿＿。,,,おします,わたります,まがります,出ます（でます）
20,Chọn trợ từ / cụm phù hợp / câu ngắn,Mina bài 23,10,どれ＿＿＿ こしょうですか。,,,が,を,に,で
