group_id,group_title,lesson,question_no,question_jp,romaji,meaning_vi,option_a,option_b,option_c,option_d
6,Việt → Nhật,Mina bài 1,1,“tôi” là từ nào?,“tôi” là từ nào?,Chọn từ tiếng Nhật phù hợp với nghĩa tiếng Việt trong câu hỏi.,わたし,あなた,みなさん,だれ
6,Việt → Nhật,Mina bài 1,2,“chúng tôi / chúng ta” là từ nào?,“chúng tôi / chúng ta” là từ nào?,Chọn từ tiếng Nhật phù hợp với nghĩa tiếng Việt trong câu hỏi.,わたしたち,あのひと,あのかた,あなた
6,Việt → Nhật,Mina bài 1,3,“bạn” là từ nào?,“bạn” là từ nào?,Chọn từ tiếng Nhật phù hợp với nghĩa tiếng Việt trong câu hỏi.,わたし,あなた,だれ,どなた
6,Việt → Nhật,Mina bài 1,4,“mọi người” là từ nào?,“mọi người” là từ nào?,Chọn từ tiếng Nhật phù hợp với nghĩa tiếng Việt trong câu hỏi.,みなさん,あのひと,わたしたち,どなた
6,Việt → Nhật,Mina bài 1,5,“giáo viên / thầy cô” là từ nào?,“giáo viên / thầy cô” là từ nào?,Chọn từ tiếng Nhật phù hợp với nghĩa tiếng Việt trong câu hỏi.,学生（がくせい）,先生（せんせい）,いしゃ,エンジニア
6,Việt → Nhật,Mina bài 1,6,“học sinh / sinh viên” là từ nào?,“học sinh / sinh viên” là từ nào?,Chọn từ tiếng Nhật phù hợp với nghĩa tiếng Việt trong câu hỏi.,きょうし,学生（がくせい）,しゃいん,けんきゅうしゃ
6,Việt → Nhật,Mina bài 1,7,“bác sĩ” là từ nào?,“bác sĩ” là từ nào?,Chọn từ tiếng Nhật phù hợp với nghĩa tiếng Việt trong câu hỏi.,いしゃ,ぎんこういん,かいしゃいん,先生（せんせい）
6,Việt → Nhật,Mina bài 1,8,“kỹ sư” là từ nào?,“kỹ sư” là từ nào?,Chọn từ tiếng Nhật phù hợp với nghĩa tiếng Việt trong câu hỏi.,エンジニア,いしゃ,けんきゅうしゃ,しゃいん
6,Việt → Nhật,Mina bài 1,9,“đại học” là từ nào?,“đại học” là từ nào?,Chọn từ tiếng Nhật phù hợp với nghĩa tiếng Việt trong câu hỏi.,びょういん,大学（だいがく）,でんき,かいしゃいん
6,Việt → Nhật,Mina bài 1,10,“bệnh viện” là từ nào?,“bệnh viện” là từ nào?,Chọn từ tiếng Nhật phù hợp với nghĩa tiếng Việt trong câu hỏi.,大学（だいがく）,びょういん,でんき,ぎんこう
