group_id,group_title,lesson,question_no,question_jp,meaning_vi,option_a,option_b,option_c,option_d
17,Phân biệt từ dễ nhầm,Mina bài 6,1,食べます（たべます） và 飲みます（のみます） khác nhau thế nào?,Phân biệt nghĩa/cách dùng.,食べます là ăn; 飲みます là uống,食べます là uống; 飲みます là ăn,Cả hai đều là xem,Cả hai đều là mua
17,Phân biệt từ dễ nhầm,Mina bài 6,2,見ます（みます） và 聞きます（ききます） khác nhau thế nào?,Phân biệt nghĩa/cách dùng.,見ます là xem / nhìn; 聞きます là nghe,見ます là nghe; 聞きます là xem,Cả hai đều là đọc,Cả hai đều là viết
17,Phân biệt từ dễ nhầm,Mina bài 6,3,読みます（よみます） và 書きます（かきます） khác nhau thế nào?,Phân biệt nghĩa/cách dùng.,読みます là đọc; 書きます là viết,読みます là viết; 書きます là đọc,Cả hai đều là mua,Cả hai đều là gặp
17,Phân biệt từ dễ nhầm,Mina bài 6,4,買います（かいます） và 書きます（かきます） khác nhau thế nào?,Phân biệt nghĩa/cách dùng.,買います là mua; 書きます là viết,買います là viết; 書きます là mua,Cả hai đều là đọc,Cả hai đều là uống
17,Phân biệt từ dễ nhầm,Mina bài 6,5,あいます và します khác nhau thế nào?,Phân biệt nghĩa/cách dùng.,あいます là gặp; します là làm,あいます là làm; します là gặp,Cả hai đều là ăn,Cả hai đều là uống
17,Phân biệt từ dễ nhầm,Mina bài 6,6,あさごはん・ひるごはん・ばんごはん khác nhau thế nào?,Phân biệt nghĩa/cách dùng.,"あさごはん: bữa sáng, ひるごはん: bữa trưa, ばんごはん: bữa tối","あさごはん: bữa tối, ひるごはん: bữa sáng, ばんごはん: bữa trưa",Cả ba đều là đồ uống,Cả ba đều là trái cây
17,Phân biệt từ dễ nhầm,Mina bài 6,7,おちゃ và こうちゃ khác nhau thế nào?,Phân biệt nghĩa/cách dùng.,おちゃ là trà; こうちゃ là trà đen,おちゃ là trà đen; こうちゃ là trà,Cả hai đều là nước ép,Cả hai đều là sữa bò
17,Phân biệt từ dễ nhầm,Mina bài 6,8,ビール và おさけ khác nhau thế nào?,Phân biệt nghĩa/cách dùng.,ビール là bia; おさけ là rượu,ビール là rượu; おさけ là bia,Cả hai đều là trà,Cả hai đều là nước
17,Phân biệt từ dễ nhầm,Mina bài 6,9,いつも và ときどき khác nhau thế nào?,Phân biệt nghĩa/cách dùng.,いつも là luôn luôn; ときどき là thỉnh thoảng,いつも là thỉnh thoảng; ときどき là luôn luôn,Cả hai đều nghĩa là sau đó,Cả hai đều nghĩa là cùng nhau
17,Phân biệt từ dễ nhầm,Mina bài 6,10,ちょっと và いっしょに khác nhau thế nào?,Phân biệt nghĩa/cách dùng.,ちょっと là một chút; いっしょに là cùng nhau,ちょっと là cùng nhau; いっしょに là một chút,Cả hai đều là luôn luôn,Cả hai đều là sau đó
