group_id,group_title,lesson,question_no,question_jp,meaning_vi,option_a,option_b,option_c,option_d
1,Điền từ / Trợ từ,JLPT N5 201212 Grammar,1,西川「はじめまして、私は A銀行（   ）西川です。」 中山「はじめまして、中山です。」,"Nishikawa: ""Chào bạn, tôi là Nishikawa của ngân hàng A."" Nakayama: ""Chào bạn, tôi là Nakayama.""",や,が,を,の
1,Điền từ / Trợ từ,JLPT N5 201212 Grammar,2,きのう、大山さんが 私（   ）花を くれました。,"Hôm qua, anh Oyama đã tặng hoa cho tôi.",に,や,と,を
1,Điền từ / Trợ từ,JLPT N5 201212 Grammar,3,この スカート（   ）先週 デパートで 買いました。,Cái váy này thì tôi đã mua ở trung tâm thương mại vào tuần trước.,の,に,で,は
1,Điền từ / Trợ từ,JLPT N5 201212 Grammar,4,今日は 風（   ）強いです。,Hôm nay gió mạnh.,を,の,が,へ
1,Điền từ / Trợ từ,JLPT N5 201212 Grammar,5,毎日 私は 1時間（   ）さんぽします。,Mỗi ngày tôi đi dạo khoảng 1 tiếng.,が,に,ごろ,ぐらい
1,Điền từ / Trợ từ,JLPT N5 201212 Grammar,6,きょうしつ（   ）、ぼうしを ぬいで ください。,Ở trong lớp học thì hãy cởi mũ ra.,では,には,へは,とは
1,Điền từ / Trợ từ,JLPT N5 201212 Grammar,7,（会社で） A「えいがの チケットが 5枚あります。だれ（   ）いきませんか。」 B「あ、いきたいです。」,"(Ở công ty) A: ""Tôi có 5 vé xem phim. Có ai đi cùng không?"" B: ""A, tôi muốn đi.""",と,か,の,に
1,Điền từ / Trợ từ,JLPT N5 201212 Grammar,8,あしたは しごとの 後、（   ）びょういんへ 行きます。,"Ngày mai sau khi làm việc xong, tôi sẽ đi bệnh viện ngay.",すぐに,もう,よく,だんだん
1,Điền từ / Trợ từ,JLPT N5 201212 Grammar,9,A「急いで ください。出かけますよ。」 B「あ、（   ）待って ください。」,"A: ""Nhanh lên. Đi thôi nào."" B: ""A, đợi một chút.""",とても,あまり,ぜんぜん,ちょっと
1,Điền từ / Trợ từ,JLPT N5 201212 Grammar,10,A「りょうりを しますか。」 B「はい、します。でも、じょうず（   ）ですよ。」,"A: ""Bạn có nấu ăn không?"" B: ""Vâng, có. Nhưng không giỏi đâu.""",ない,がない,しない,じゃない
1,Điền từ / Trợ từ,JLPT N5 201212 Grammar,11,私は 小さい（   ）、外国に 住んで いました。,"Hồi còn nhỏ, tôi sống ở nước ngoài.",まで,までの,とき,のとき
1,Điền từ / Trợ từ,JLPT N5 201212 Grammar,12,日本の 食べ物は おいしいです。いちばん（   ）のは すしです。,Đồ ăn Nhật Bản rất ngon. Món tôi thích nhất là sushi.,好き,好きな,好きだ,好きで
1,Điền từ / Trợ từ,JLPT N5 201212 Grammar,13,（電話で） 山下「もしもし、西川さんですか。」 西川「はい、そうですが、（   ）ですか。」 山下「山下です。」,"(Trên điện thoại) Yamashita: ""Alo, Nishikawa đấy à?"" Nishikawa: ""Vâng, đúng rồi, nhưng ai đấy ạ?"" Yamashita: ""Tôi là Yamashita.""",どなた,どの人,だれが,なにか
1,Điền từ / Trợ từ,JLPT N5 201212 Grammar,14,A「来月の 旅行は 電車で 行きません。バスで 行きます。」 B「（   ）。」 A「バスの ほうが 安いからです。」,"A: ""Chuyến du lịch tháng sau tôi sẽ không đi bằng tàu điện. Sẽ đi bằng xe buýt."" B: ""Tại sao vậy?"" A: ""Bởi vì xe buýt rẻ hơn.""",どちらですか,どうしてですか,どうしますか,どこへ行きますか
1,Điền từ / Trợ từ,JLPT N5 201212 Grammar,15,（きょうしつで） 山下「南さん、いっしょに しゅくだいを やりませんか。」 南「すみません、私は 家に 帰ってから（   ）。」,"(Ở lớp học) Yamashita: ""Minami, cùng làm bài tập không?"" Minami: ""Xin lỗi, tôi sau khi về nhà mới làm.""",います,あります,します,終わります
1,Điền từ / Trợ từ,JLPT N5 201212 Grammar,16,（食堂で） 西川「ラーメンは ありませんか。」 食堂の人「ええ、ありますよ。しょうゆラーメンと しおラーメンが あります。」 西川「じゃあ、しおラーメン（   ）。」,"(Ở nhà ăn) Nishikawa: ""Có mì ramen không?"" Nhân viên: ""Có ạ. Có ramen nước tương và ramen muối."" Nishikawa: ""Vậy cho tôi ramen muối.""",にください,にしてください,がおねがいです,がおねがいします
