group_id,group_title,lesson,question_no,question_jp,meaning_vi,option_a,option_b,option_c,option_d
2,Tính từ / mùa,Mina bài 12,1,からい nghĩa là gì?,からい nghĩa là gì?,cay,ngọt,nhẹ,tốt
2,Tính từ / mùa,Mina bài 12,2,重い（おもい） nghĩa là gì?,重い（おもい） nghĩa là gì?,nặng,nhẹ,nhiều,ít
2,Tính từ / mùa,Mina bài 12,3,軽い（かるい） nghĩa là gì?,軽い（かるい） nghĩa là gì?,nhẹ,nặng,nhanh,chậm
2,Tính từ / mùa,Mina bài 12,4,いい nghĩa là gì?,いい nghĩa là gì?,tốt,cay,xa,ít
2,Tính từ / mùa,Mina bài 12,5,きせつ nghĩa là gì?,きせつ nghĩa là gì?,mùa,thời tiết,mưa,tuyết
2,Tính từ / mùa,Mina bài 12,6,春（はる） nghĩa là gì?,春（はる） nghĩa là gì?,mùa xuân,mùa hè,mùa thu,mùa đông
2,Tính từ / mùa,Mina bài 12,7,夏（なつ） nghĩa là gì?,夏（なつ） nghĩa là gì?,mùa hè,mùa xuân,mùa thu,mùa đông
2,Tính từ / mùa,Mina bài 12,8,秋（あき） nghĩa là gì?,秋（あき） nghĩa là gì?,mùa thu,mùa hè,mùa đông,mùa xuân
2,Tính từ / mùa,Mina bài 12,9,冬（ふゆ） nghĩa là gì?,冬（ふゆ） nghĩa là gì?,mùa đông,mùa xuân,mùa hè,mùa thu
2,Tính từ / mùa,Mina bài 12,10,天気（てんき） nghĩa là gì?,天気（てんき） nghĩa là gì?,thời tiết,mùa,mưa,biển
