group_id,group_title,lesson,question_no,question_jp,meaning_vi,option_a,option_b,option_c,option_d
9,Điền vào câu / ngữ cảnh,Mina bài 18,1,わたしの しゅみは＿＿＿です。,Chọn đáp án phù hợp.,ピアノ,かちょう,げんきん,メートル
9,Điền vào câu / ngữ cảnh,Mina bài 18,2,わたしは 日記（にっき）を＿＿＿。,Chọn đáp án phù hợp.,書きます（かきます）,あらいます,すてます,うんてんします
9,Điền vào câu / ngữ cảnh,Mina bài 18,3,へえ、＿＿＿。,Chọn đáp án phù hợp.,ほんとうですか,できます,あらいます,メートル
9,Điền vào câu / ngữ cảnh,Mina bài 18,4,それは＿＿＿ですね。,Chọn đáp án phù hợp.,おもしろい,げんきん,メートル,かちょう
9,Điền vào câu / ngữ cảnh,Mina bài 18,5,＿＿＿ いきたいです。,Chọn đáp án phù hợp.,ぜひ,なかなか,とくに,へえ
9,Điền vào câu / ngữ cảnh,Mina bài 18,6,わたしは＿＿＿ 動物（どうぶつ）が すきです。,Chọn đáp án phù hợp.,とくに,ぜひ,へえ,なかなか
9,Điền vào câu / ngữ cảnh,Mina bài 18,7,日本語（にほんご）は＿＿＿ むずかしいです。,Chọn đáp án phù hợp.,なかなか,へえ,ぜひ,とくに
9,Điền vào câu / ngữ cảnh,Mina bài 18,8,500＿＿＿ あります。,Chọn đáp án phù hợp.,メートル,ピアノ,にっき,おいのり
9,Điền vào câu / ngữ cảnh,Mina bài 18,9,部長（ぶちょう）は 会議（かいぎ）に＿＿＿。,Chọn đáp án phù hợp.,います,できます,あらいます,すてます
9,Điền vào câu / ngữ cảnh,Mina bài 18,10,社長（しゃちょう）は 車（くるま）を＿＿＿。,Chọn đáp án phù hợp.,うんてんします,けんがくします,あつめます,すてます
