group_id,group_title,lesson,question_no,question_jp,meaning_vi,option_a,option_b,option_c,option_d
1,Cách đọc Kanji,JLPT N5 201212,1,すみません、【水】を ください。,"Xin lỗi, cho tôi nước.",すい,ずい,みず,みす
1,Cách đọc Kanji,JLPT N5 201212,2,まいあさ 8じに 【学校】に いきます。,Mỗi sáng đi học lúc 8 giờ.,かくこう,がくこう,かっこう,がっこう
1,Cách đọc Kanji,JLPT N5 201212,3,この コートは 【安い】ですね。,Cái áo khoác này rẻ nhỉ.,やすい,かるい,ふるい,うすい
1,Cách đọc Kanji,JLPT N5 201212,4,きょうは しゅくだいが 【少ない】です。,Hôm nay bài tập ít.,すこない,すくない,すごない,すぐない
1,Cách đọc Kanji,JLPT N5 201212,5,この ふくは 【六万円】です。,Bộ quần áo này giá 60.000 yên.,よんせんえん,ろくせんえん,ろくまんえん,よんまんえん
1,Cách đọc Kanji,JLPT N5 201212,6,その かどを 【左】に まがって ください。,Hãy rẽ trái ở góc đó.,ひだり,みき,みぎ,ひたり
1,Cách đọc Kanji,JLPT N5 201212,7,えんぴつを 【三本】 かして ください。,Hãy cho tôi mượn 3 cái bút chì.,さんぽん,さんぼん,さんべん,さんぺん
1,Cách đọc Kanji,JLPT N5 201212,8,さとうさんは 【先月】 けっこんしました。,Anh/chị Sato đã kết hôn tháng trước.,せんげつ,せんしゅう,こんげつ,こんしゅう
1,Cách đọc Kanji,JLPT N5 201212,9,あの 【山】の なまえは なんですか。,Tên ngọn núi kia là gì?,やま,はな,とり,かわ
1,Cách đọc Kanji,JLPT N5 201212,10,かんじを 【九つ】 おぼえました。,Đã nhớ 9 chữ Kanji.,ななつ,いつつ,やっつ,ここのつ
1,Cách đọc Kanji,JLPT N5 201212,11,これは どこの くにの 【お金】ですか。,Đây là tiền của nước nào?,おがし,おがね,おかし,おかね
1,Cách đọc Kanji,JLPT N5 201212,12,どうぞ 【飲んで】 ください。,Xin mời hãy uống.,あそんで,ならんで,よんで,のんで
