group_id,group_title,lesson,question_no,question_jp,romaji,meaning_vi,option_a,option_b,option_c,option_d
13,Điền vào câu / văn hóa và thiên nhiên,Mina bài 21,1,アニメは テレビで＿＿＿。,Animeha terebide。,アニメは テレビで＿＿＿。,ほうそうします,勝ちます（かちます）,足ります（たります）,やめます
13,Điền vào câu / văn hóa và thiên nhiên,Mina bài 21,2,マンガを＿＿＿。,Mangawo。,マンガを＿＿＿。,読みます（よみます）,うごきます,勝ちます（かちます）,足ります（たります）
13,Điền vào câu / văn hóa và thiên nhiên,Mina bài 21,3,この デザインは＿＿＿です。,Kono dezainhadesu。,この デザインは＿＿＿です。,すごい,むだ,もちろん,たぶん
13,Điền vào câu / văn hóa và thiên nhiên,Mina bài 21,4,私（わたし）の＿＿＿は エンジニアです。,Watashinoha enjiniadesu。,私（わたし）の＿＿＿は エンジニアです。,ゆめ,月（つき）,地球（ちきゅう）,試合（しあい）
13,Điền vào câu / văn hóa và thiên nhiên,Mina bài 21,5,あの 人（ひと）は＿＿＿です。,Ano hitohadesu。,あの 人（ひと）は＿＿＿です。,てんさい,月（つき）,ぶっか,こうつう
13,Điền vào câu / văn hóa và thiên nhiên,Mina bài 21,6,私（わたし）たちは＿＿＿に すんでいます。,Watashitachihani sundeimasu。,私（わたし）たちは＿＿＿に すんでいます。,地球（ちきゅう）,月（つき）,ニュース,試合（しあい）
13,Điền vào câu / văn hóa và thiên nhiên,Mina bài 21,7,夜（よる）、＿＿＿を 見ます（みます）。,Yoru、wo mimasu。,夜（よる）、＿＿＿を 見ます（みます）。,月（つき）,地球（ちきゅう）,ぶっか,こうつう
13,Điền vào câu / văn hóa và thiên nhiên,Mina bài 21,8,マンガについて どう＿＿＿。,Manganitsuite dou。,マンガについて どう＿＿＿。,思いますか（おもいますか）,勝ちますか（かちますか）,足りますか（たりますか）,やめますか
13,Điền vào câu / văn hóa và thiên nhiên,Mina bài 21,9,アニメは 本当に（ほんとうに）＿＿＿です。,Animeha hontounidesu。,アニメは 本当に（ほんとうに）＿＿＿です。,おもしろい,足ります（たります）,勝ちます（かちます）,うごきます
13,Điền vào câu / văn hóa và thiên nhiên,Mina bài 21,10,この ニュースは＿＿＿ですか。,Kono nyuusuhadesuka。,この ニュースは＿＿＿ですか。,本当（ほんとう）,むだ,不便（ふべん）,たぶん
