group_id,group_title,lesson,question_no,question_jp,romaji,meaning_vi,option_a,option_b,option_c,option_d
19,Phân biệt từ dễ nhầm / vị trí,Mina bài 10,1,前（まえ） và うしろ khác nhau thế nào?,mae và ushiro khác nhau thế nào?,前（まえ） và うしろ khác nhau thế nào?,前 là trước; うしろ là sau,前 là sau; うしろ là trước,Cả hai đều là bên phải,Cả hai đều là bên trái
19,Phân biệt từ dễ nhầm / vị trí,Mina bài 10,2,となり và 近く（ちかく） khác nhau thế nào?,tonari và chikaku（chikaku） khác nhau thế nào?,となり và 近く（ちかく） khác nhau thế nào?,となり là bên cạnh; 近く là gần,となり là gần; 近く là giữa,Cả hai đều là bên trong,Cả hai đều là trên cùng
19,Phân biệt từ dễ nhầm / vị trí,Mina bài 10,3,いちばん 上（うえ） và いちばん 下（した） khác nhau thế nào?,ichiban ue và ichiban shita khác nhau thế nào?,いちばん 上（うえ） và いちばん 下（した） khác nhau thế nào?,いちばん 上 là trên cùng; いちばん 下 là dưới cùng,いちばん 上 là dưới cùng; いちばん 下 là trên cùng,Cả hai đều là trước nhất,Cả hai đều là sau cùng
19,Phân biệt từ dễ nhầm / vị trí,Mina bài 10,4,いちばん 前（まえ） và いちばん うしろ khác nhau thế nào?,ichiban mae và ichiban ushiro khác nhau thế nào?,いちばん 前（まえ） và いちばん うしろ khác nhau thế nào?,いちばん 前 là trước nhất; いちばん うしろ là sau cùng,いちばん 前 là sau cùng; いちばん うしろ là trước nhất,Cả hai đều là trên cùng,Cả hai đều là dưới cùng
19,Phân biệt từ dễ nhầm / vị trí,Mina bài 10,5,教室（きょうしつ） và へや khác nhau thế nào?,kyoushitsu và heya khác nhau thế nào?,教室（きょうしつ） và へや khác nhau thế nào?,教室 là lớp học; へや là phòng,教室 là phòng; へや là lớp học,Cả hai đều là công ty,Cả hai đều là cửa hàng
19,Phân biệt từ dễ nhầm / vị trí,Mina bài 10,6,会社（かいしゃ） và 学校（がっこう） khác nhau thế nào?,kaisha và gakkou khác nhau thế nào?,会社（かいしゃ） và 学校（がっこう） khác nhau thế nào?,会社 là công ty; 学校 là trường học,会社 là trường học; 学校 là công ty,Cả hai đều là ga,Cả hai đều là nhà
19,Phân biệt từ dễ nhầm / vị trí,Mina bài 10,7,どこ・なに・だれ khác nhau thế nào?,doko・nani・dare khác nhau thế nào?,どこ・なに・だれ khác nhau thế nào?,"どこ: ở đâu, なに: cái gì, だれ: ai","どこ: ai, なに: ở đâu, だれ: cái gì","どこ: cái gì, なに: ai, だれ: ở đâu",Cả ba đều hỏi vị trí
19,Phân biệt từ dễ nhầm / vị trí,Mina bài 10,8,ポスト và のりば khác nhau thế nào?,posuto và noriba khác nhau thế nào?,ポスト và のりば khác nhau thế nào?,ポスト là hòm thư; のりば là bến / điểm lên xe,ポスト là bến xe; のりば là hòm thư,Cả hai đều là hiệu sách,Cả hai đều là công viên
19,Phân biệt từ dễ nhầm / vị trí,Mina bài 10,9,ビル và こうえん khác nhau thế nào?,biru và kouen khác nhau thế nào?,ビル và こうえん khác nhau thế nào?,ビル là tòa nhà; こうえん là công viên,ビル là công viên; こうえん là tòa nhà,Cả hai đều là quán cà phê,Cả hai đều là cửa hàng
19,Phân biệt từ dễ nhầm / vị trí,Mina bài 10,10,はこ và たな khác nhau thế nào?,hako và tana khác nhau thế nào?,はこ và たな khác nhau thế nào?,はこ là hộp; たな là kệ,はこ là kệ; たな là hộp,Cả hai đều là giường,Cả hai đều là tủ lạnh
