group_id,group_title,lesson,question_no,question_jp,meaning_vi,option_a,option_b,option_c,option_d
6,Trạng từ / lý do / câu nói,Mina bài 9,1,よく nghĩa là gì?,よく nghĩa là gì?,tốt / rõ / thường,đại khái / hầu như,nhiều,một chút
6,Trạng từ / lý do / câu nói,Mina bài 9,2,だいたい nghĩa là gì?,だいたい nghĩa là gì?,đại khái / hầu như,nhiều,hoàn toàn không,sớm / nhanh
6,Trạng từ / lý do / câu nói,Mina bài 9,3,たくさん nghĩa là gì?,たくさん nghĩa là gì?,nhiều,một chút,tốt / rõ,tại sao
6,Trạng từ / lý do / câu nói,Mina bài 9,4,すこし nghĩa là gì?,すこし nghĩa là gì?,một chút,nhiều,hoàn toàn không,sớm / nhanh
6,Trạng từ / lý do / câu nói,Mina bài 9,5,ぜんぜん nghĩa là gì?,ぜんぜん nghĩa là gì?,hoàn toàn không,nhiều,đại khái,tốt / rõ
6,Trạng từ / lý do / câu nói,Mina bài 9,6,はやく nghĩa là gì?,はやく nghĩa là gì?,sớm / nhanh,một chút,nhiều,bởi vì
6,Trạng từ / lý do / câu nói,Mina bài 9,7,から nghĩa là gì?,から nghĩa là gì?,vì / bởi vì,tại sao,tiếc quá,xin lỗi
6,Trạng từ / lý do / câu nói,Mina bài 9,8,どうして nghĩa là gì?,どうして nghĩa là gì?,tại sao,vì,có,hiểu
6,Trạng từ / lý do / câu nói,Mina bài 9,9,ざんねんです nghĩa là gì?,ざんねんです nghĩa là gì?,tiếc quá,xin lỗi,tại sao,nhiều
6,Trạng từ / lý do / câu nói,Mina bài 9,10,すみません nghĩa là gì?,すみません nghĩa là gì?,xin lỗi,tiếc quá,tại sao,bởi vì
