group_id,group_title,lesson,question_no,question_jp,meaning_vi,option_a,option_b,option_c,option_d
1,Ý kiến / suy nghĩ,Mina bài 21,1,思います（おもいます） nghĩa là gì?,思います（おもいます） nghĩa là gì?,nghĩ,nói,thắng,thua
1,Ý kiến / suy nghĩ,Mina bài 21,2,言います（いいます） nghĩa là gì?,言います（いいます） nghĩa là gì?,nói,nghĩ,đủ,chú ý
1,Ý kiến / suy nghĩ,Mina bài 21,3,意見（いけん） nghĩa là gì?,意見（いけん） nghĩa là gì?,ý kiến,câu chuyện,tin tức,giấc mơ
1,Ý kiến / suy nghĩ,Mina bài 21,4,話（はなし） nghĩa là gì?,話（はなし） nghĩa là gì?,câu chuyện,ý kiến,lời nói dối,trận đấu
1,Ý kiến / suy nghĩ,Mina bài 21,5,本当（ほんとう） nghĩa là gì?,本当（ほんとう） nghĩa là gì?,thật,nói dối,có lẽ,tất nhiên
1,Ý kiến / suy nghĩ,Mina bài 21,6,うそ nghĩa là gì?,うそ nghĩa là gì?,nói dối / lời nói dối,thật,ý kiến,câu chuyện
1,Ý kiến / suy nghĩ,Mina bài 21,7,本当に（ほんとうに） nghĩa là gì?,本当に（ほんとうに） nghĩa là gì?,thật sự,gần đây,tất nhiên,chắc chắn
1,Ý kiến / suy nghĩ,Mina bài 21,8,〜について nghĩa là gì?,〜について nghĩa là gì?,về / liên quan đến,đến mức như vậy,không còn cách nào khác,có ích
1,Ý kiến / suy nghĩ,Mina bài 21,9,どう思いますか（どうおもいますか） nghĩa là gì?,どう思いますか（どうおもいますか） nghĩa là gì?,Bạn nghĩ thế nào?,Bạn nói gì?,Bạn có thắng không?,Bạn đi đâu?
1,Ý kiến / suy nghĩ,Mina bài 21,10,私（わたし）もそう思います（おもいます） nghĩa là gì?,私（わたし）もそう思います（おもいます） nghĩa là gì?,Tôi cũng nghĩ vậy.,Tôi không nghĩ vậy.,Tôi cũng nói vậy.,Tôi không biết.
