group_id,group_title,lesson,question_no,question_jp,romaji,meaning_vi,option_a,option_b,option_c,option_d
10,Việt → Nhật / gia đình và câu nói,Mina bài 7,1,“Giáng sinh” là từ nào?,“Giáng sinh” là từ nào?,Giáng sinh,クリスマス,ねんがじょう,プレゼント,たんじょうび
10,Việt → Nhật / gia đình và câu nói,Mina bài 7,2,“bố tôi” là từ nào?,“bố tôi” là từ nào?,bố tôi,父（ちち）,母（はは）,おとうさん,おかあさん
10,Việt → Nhật / gia đình và câu nói,Mina bài 7,3,“mẹ tôi” là từ nào?,“mẹ tôi” là từ nào?,mẹ tôi,母（はは）,父（ちち）,おかあさん,おとうさん
10,Việt → Nhật / gia đình và câu nói,Mina bài 7,4,“bố” là từ nào?,“bố” là từ nào?,bố,おとうさん,父（ちち）,母（はは）,おかあさん
10,Việt → Nhật / gia đình và câu nói,Mina bài 7,5,“mẹ” là từ nào?,“mẹ” là từ nào?,mẹ,おかあさん,母（はは）,父（ちち）,おとうさん
10,Việt → Nhật / gia đình và câu nói,Mina bài 7,6,“đã... rồi” là từ nào?,“đã... rồi” là từ nào?,đã... rồi,もう,まだ,これから,なんで
10,Việt → Nhật / gia đình và câu nói,Mina bài 7,7,“chưa” là từ nào?,“chưa” là từ nào?,chưa,まだ,もう,これから,だれから
10,Việt → Nhật / gia đình và câu nói,Mina bài 7,8,“từ bây giờ / sau đây” là từ nào?,“từ bây giờ / sau đây” là từ nào?,từ bây giờ / sau đây,これから,もう,まだ,だれに
10,Việt → Nhật / gia đình và câu nói,Mina bài 7,9,“đẹp quá / tuyệt quá” là câu nào?,“đẹp quá / tuyệt quá” là câu nào?,Điền/chọn đáp án phù hợp.,すてきですね,いらっしゃい,しつれいします,いただきます
10,Việt → Nhật / gia đình và câu nói,Mina bài 7,10,“cảm ơn vì bữa ăn” là câu nào?,“cảm ơn vì bữa ăn” là câu nào?,Điền/chọn đáp án phù hợp.,ごちそうさまでした,いただきます,ごめんください,どうぞ おあがりください
