group_id,group_title,lesson,question_no,question_jp,romaji,meaning_vi,option_a,option_b,option_c,option_d
3,Âm đơn ナ〜ホ,Âm đơn,21,ナ,na,na,na,no,ni,nu
3,Âm đơn ナ〜ホ,Âm đơn,22,ニ,ni,ni,ni,na,ne,nu
3,Âm đơn ナ〜ホ,Âm đơn,23,ヌ,nu,nu,nu,ne,na,no
3,Âm đơn ナ〜ホ,Âm đơn,24,ネ,ne,ne,ne,nu,no,na
3,Âm đơn ナ〜ホ,Âm đơn,25,ノ,no,no,no,so,n,na
3,Âm đơn ナ〜ホ,Âm đơn,26,ハ,ha,ha,ha,ba,pa,ho
3,Âm đơn ナ〜ホ,Âm đơn,27,ヒ,hi,hi,hi,bi,pi,he
3,Âm đơn ナ〜ホ,Âm đơn,28,フ,fu,fu,fu,hu,bu,pu
3,Âm đơn ナ〜ホ,Âm đơn,29,ヘ,he,he,he,be,pe,hi
3,Âm đơn ナ〜ホ,Âm đơn,30,ホ,ho,ho,ho,bo,po,ha
