group_id,group_title,lesson,question_no,question_jp,meaning_vi,option_a,option_b,option_c,option_d
9,Việt → Nhật / đồ vật,Mina bài 7,1,“đồ bấm kim” là từ nào?,đồ bấm kim,ホッチキス,パンチ,セロテープ,はさみ
9,Việt → Nhật / đồ vật,Mina bài 7,2,“băng keo trong” là từ nào?,băng keo trong,セロテープ,ホッチキス,けしゴム,かみ
9,Việt → Nhật / đồ vật,Mina bài 7,3,“cục tẩy” là từ nào?,cục tẩy,けしゴム,セロテープ,かみ,はな
9,Việt → Nhật / đồ vật,Mina bài 7,4,“giấy” là từ nào?,giấy,かみ,はな,シャツ,きっぷ
9,Việt → Nhật / đồ vật,Mina bài 7,5,“hoa” là từ nào?,hoa,はな,かみ,プレゼント,にもつ
9,Việt → Nhật / đồ vật,Mina bài 7,6,“áo sơ mi” là từ nào?,áo sơ mi,シャツ,プレゼント,にもつ,きっぷ
9,Việt → Nhật / đồ vật,Mina bài 7,7,“quà tặng” là từ nào?,quà tặng,プレゼント,にもつ,お金（おかね）,きっぷ
9,Việt → Nhật / đồ vật,Mina bài 7,8,“hành lý” là từ nào?,hành lý,にもつ,プレゼント,きっぷ,シャツ
9,Việt → Nhật / đồ vật,Mina bài 7,9,“tiền” là từ nào?,tiền,お金（おかね）,きっぷ,かみ,はな
9,Việt → Nhật / đồ vật,Mina bài 7,10,“vé” là từ nào?,vé,きっぷ,お金（おかね）,にもつ,プレゼント
