group_id,group_title,lesson,question_no,question_jp,romaji,meaning_vi,option_a,option_b,option_c,option_d
4,Việt → Nhật / địa danh và câu giao tiếp,Mina bài 25,1,“một trăm triệu” là từ nào?,,“một trăm triệu” là từ nào?,億（おく）,まん,せん,ひゃく
4,Việt → Nhật / địa danh và câu giao tiếp,Mina bài 25,2,“Việt Nam” là từ nào?,,“Việt Nam” là từ nào?,ベトナム,日本（にほん）,東京（とうきょう）,大阪（おおさか）
4,Việt → Nhật / địa danh và câu giao tiếp,Mina bài 25,3,“Nhật Bản” là từ nào?,,“Nhật Bản” là từ nào?,日本（にほん）,ベトナム,東京（とうきょう）,大阪（おおさか）
4,Việt → Nhật / địa danh và câu giao tiếp,Mina bài 25,4,“Tokyo” là từ nào?,,“Tokyo” là từ nào?,東京（とうきょう）,大阪（おおさか）,日本（にほん）,ベトナム
4,Việt → Nhật / địa danh và câu giao tiếp,Mina bài 25,5,“Osaka” là từ nào?,,“Osaka” là từ nào?,大阪（おおさか）,東京（とうきょう）,ベトナム,日本（にほん）
4,Việt → Nhật / địa danh và câu giao tiếp,Mina bài 25,6,“uống một ly nhé” là câu nào?,,“uống một ly nhé” là câu nào?,いっぱい飲みましょう（いっぱいのみましょう）,どうぞお元気で（どうぞおげんきで）,いろいろお世話になりました（いろいろおせわになりました）,がんばります
4,Việt → Nhật / địa danh và câu giao tiếp,Mina bài 25,7,“cảm ơn vì đã giúp đỡ nhiều” là câu nào?,,“cảm ơn vì đã giúp đỡ nhiều” là câu nào?,いろいろお世話になりました（いろいろおせわになりました）,いっぱい飲みましょう（いっぱいのみましょう）,どうぞお元気で（どうぞおげんきで）,もし チャンスが あります
4,Việt → Nhật / địa danh và câu giao tiếp,Mina bài 25,8,“chúc mạnh khỏe” là câu nào?,,“chúc mạnh khỏe” là câu nào?,どうぞお元気で（どうぞおげんきで）,いっぱい飲みましょう（いっぱいのみましょう）,いろいろお世話になりました（いろいろおせわになりました）,東京（とうきょう）に 着きます（つきます）
4,Việt → Nhật / địa danh và câu giao tiếp,Mina bài 25,9,“dù bao nhiêu / bao nhiêu tiền” là từ nào?,,“dù bao nhiêu / bao nhiêu tiền” là từ nào?,いくら,もし,億（おく）,チャンス
4,Việt → Nhật / địa danh và câu giao tiếp,Mina bài 25,10,“nếu có cơ hội” là cụm nào?,,“nếu có cơ hội” là cụm nào?,もし チャンスが あります,いくら 足ります,田舎（いなか）に 着きます,億（おく）を 取ります
