group_id,group_title,lesson,question_no,question_jp,meaning_vi,option_a,option_b,option_c,option_d
5,Gia đình / thời lượng,Mina bài 11,1,おとうと nghĩa là gì?,Hỏi nghĩa tiếng Việt của từ/cụm: おとうと,em trai tôi,em trai người khác,anh trai tôi,chị gái tôi
5,Gia đình / thời lượng,Mina bài 11,2,おとうとさん nghĩa là gì?,Hỏi nghĩa tiếng Việt của từ/cụm: おとうとさん,em trai người khác,em trai tôi,anh trai,chị gái
5,Gia đình / thời lượng,Mina bài 11,3,いもうと nghĩa là gì?,Hỏi nghĩa tiếng Việt của từ/cụm: いもうと,em gái tôi,em gái người khác,chị gái tôi,em trai tôi
5,Gia đình / thời lượng,Mina bài 11,4,いもうとさん nghĩa là gì?,Hỏi nghĩa tiếng Việt của từ/cụm: いもうとさん,em gái người khác,em gái tôi,chị gái,anh trai
5,Gia đình / thời lượng,Mina bài 11,5,がいこく nghĩa là gì?,Hỏi nghĩa tiếng Việt của từ/cụm: がいこく,nước ngoài,bố mẹ,anh chị em,thư hàng không
5,Gia đình / thời lượng,Mina bài 11,6,～じかん nghĩa là gì?,Hỏi nghĩa tiếng Việt của từ/cụm: ～じかん,... tiếng,... tuần,... tháng,... năm
5,Gia đình / thời lượng,Mina bài 11,7,～しゅうかん nghĩa là gì?,Hỏi nghĩa tiếng Việt của từ/cụm: ～しゅうかん,... tuần,... tiếng,... tháng,... lần
5,Gia đình / thời lượng,Mina bài 11,8,～かげつ nghĩa là gì?,Hỏi nghĩa tiếng Việt của từ/cụm: ～かげつ,... tháng,... tuần,... năm,... người
5,Gia đình / thời lượng,Mina bài 11,9,～ねん nghĩa là gì?,Hỏi nghĩa tiếng Việt của từ/cụm: ～ねん,... năm,... tháng,... tuần,... tiếng
5,Gia đình / thời lượng,Mina bài 11,10,～ぐらい nghĩa là gì?,Hỏi nghĩa tiếng Việt của từ/cụm: ～ぐらい,khoảng / chừng,tổng cộng,chỉ / chỉ có,tất cả mọi người
