group_id,group_title,lesson,question_no,question_jp,meaning_vi,option_a,option_b,option_c,option_d
16,Chọn kanji đúng,Mina bài 21,1,“nghĩ” viết bằng kanji nào?,“nghĩ” viết bằng kanji nào?,思います,言います,勝ちます,負けます
16,Chọn kanji đúng,Mina bài 21,2,“nói” viết bằng kanji nào?,“nói” viết bằng kanji nào?,言います,思います,足ります,動きます
16,Chọn kanji đúng,Mina bài 21,3,“ý kiến” viết bằng kanji nào?,“ý kiến” viết bằng kanji nào?,意見,話,本当,試合
16,Chọn kanji đúng,Mina bài 21,4,“câu chuyện” viết bằng kanji nào?,“câu chuyện” viết bằng kanji nào?,話,意見,言葉,物語
16,Chọn kanji đúng,Mina bài 21,5,“thật” viết bằng kanji nào?,“thật” viết bằng kanji nào?,本当,嘘,意見,話
16,Chọn kanji đúng,Mina bài 21,6,“đủ” viết bằng kanji nào?,“đủ” viết bằng kanji nào?,足ります,役に立ちます,勝ちます,負けます
16,Chọn kanji đúng,Mina bài 21,7,“có ích” viết bằng kanji nào?,“có ích” viết bằng kanji nào?,役に立ちます,足ります,仕方がありません,気をつけます
16,Chọn kanji đúng,Mina bài 21,8,“bất tiện” viết bằng kanji nào?,“bất tiện” viết bằng kanji nào?,不便,便利,無駄,本当
16,Chọn kanji đúng,Mina bài 21,9,“không còn cách nào khác” viết bằng kanji nào?,“không còn cách nào khác” viết bằng kanji nào?,仕方がありません,本当に,最近,意見
16,Chọn kanji đúng,Mina bài 21,10,“gần đây” viết bằng kanji nào?,“gần đây” viết bằng kanji nào?,最近,本当,意見,話
