group_id,group_title,lesson,question_no,question_jp,meaning_vi,option_a,option_b,option_c,option_d
17,Chọn kanji đúng / danh từ,Mina bài 8,1,“đỏ” viết bằng kanji nào?,Chọn kanji đúng cho: đỏ.,赤い,青い,白い,黒い
17,Chọn kanji đúng / danh từ,Mina bài 8,2,“xanh dương” viết bằng kanji nào?,Chọn kanji đúng cho: xanh dương.,青い,赤い,黒い,白い
17,Chọn kanji đúng / danh từ,Mina bài 8,3,“núi” viết bằng kanji nào?,Chọn kanji đúng cho: núi.,山,川,田,日
17,Chọn kanji đúng / danh từ,Mina bài 8,4,“đồ ăn” viết bằng kanji nào?,Chọn kanji đúng cho: đồ ăn.,食べ物,飲み物,買い物,仕事
17,Chọn kanji đúng / danh từ,Mina bài 8,5,“công việc” viết bằng kanji nào?,Chọn kanji đúng cho: công việc.,仕事,生活,勉強,所
17,Chọn kanji đúng / danh từ,Mina bài 8,6,“cuộc sống” viết bằng kanji nào?,Chọn kanji đúng cho: cuộc sống.,生活,仕事,勉強,食べ物
17,Chọn kanji đúng / danh từ,Mina bài 8,7,“việc học” viết bằng kanji nào?,Chọn kanji đúng cho: việc học.,勉強,仕事,生活,山
17,Chọn kanji đúng / danh từ,Mina bài 8,8,“người” viết bằng kanji nào?,Chọn kanji đúng cho: người.,人,入,大,天
17,Chọn kanji đúng / danh từ,Mina bài 8,9,“tiếng Nhật” viết bằng kanji nào?,Chọn kanji đúng cho: tiếng Nhật.,日本語,英語,中国語,韓国語
17,Chọn kanji đúng / danh từ,Mina bài 8,10,“Tokyo” viết bằng kanji nào?,Chọn kanji đúng cho: Tokyo.,東京,京都,日本,大阪
