group_id,group_title,lesson,question_no,question_jp,romaji,meaning_vi,option_a,option_b,option_c,option_d
1,Động từ,Mina bài 19,1,のぼります nghĩa là gì?,noborimasu nghĩa là gì?,Hỏi nghĩa của “のぼります”.,leo / trèo,trọ / ở lại,dọn dẹp,luyện tập
1,Động từ,Mina bài 19,2,とまります nghĩa là gì?,tomarimasu nghĩa là gì?,Hỏi nghĩa của “とまります”.,trọ / ở lại,leo / trèo,giặt giũ,trở nên
1,Động từ,Mina bài 19,3,そうじします nghĩa là gì?,souji shimasu nghĩa là gì?,Hỏi nghĩa của “そうじします”.,dọn dẹp,giặt giũ,luyện tập,trọ lại
1,Động từ,Mina bài 19,4,せんたくします nghĩa là gì?,sentaku shimasu nghĩa là gì?,Hỏi nghĩa của “せんたくします”.,giặt giũ,dọn dẹp,luyện tập,leo núi
1,Động từ,Mina bài 19,5,れんしゅうします nghĩa là gì?,renshuu shimasu nghĩa là gì?,Hỏi nghĩa của “れんしゅうします”.,luyện tập,dọn dẹp,giặt giũ,trở thành
1,Động từ,Mina bài 19,6,なります nghĩa là gì?,narimasu nghĩa là gì?,Hỏi nghĩa của “なります”.,trở nên / trở thành,luyện tập,ở lại,leo
1,Động từ,Mina bài 19,7,富士山（ふじさん）に のぼります nghĩa là gì?,fujisan（fujisan）に noborimasu nghĩa là gì?,Hỏi nghĩa của “富士山（ふじさん）に のぼります”.,leo núi Phú Sĩ,ở lại núi Phú Sĩ,dọn núi Phú Sĩ,luyện tập ở núi Phú Sĩ
1,Động từ,Mina bài 19,8,ホテルに とまります nghĩa là gì?,hoteruに tomarimasu nghĩa là gì?,Hỏi nghĩa của “ホテルに とまります”.,ở lại khách sạn,leo khách sạn,dọn khách sạn,giặt ở khách sạn
1,Động từ,Mina bài 19,9,へやを そうじします nghĩa là gì?,heyaを souji shimasu nghĩa là gì?,Hỏi nghĩa của “へやを そうじします”.,dọn phòng,giặt phòng,luyện tập trong phòng,ở lại phòng
1,Động từ,Mina bài 19,10,ゴルフを れんしゅうします nghĩa là gì?,gorufuを renshuu shimasu nghĩa là gì?,Hỏi nghĩa của “ゴルフを れんしゅうします”.,luyện tập golf,dọn sân golf,chơi pachinko,leo núi
