つけます	bật
けします	tắt / xóa
あけます	mở
しめます	đóng
いそぎます	vội / gấp
まちます	chờ
とめます	dừng / đỗ
まがります	rẽ
もちます	cầm / mang
とります	lấy / đưa / chụp

---

てつだいます	giúp đỡ
よびます	gọi
はなします	nói chuyện
みせます	cho xem
おしえます	chỉ / dạy / cho biết
はじめます	bắt đầu
ふります	rơi
コピーします	photo / sao chép
エアコン	máy lạnh / điều hòa
パスポート	hộ chiếu

---

なまえ	tên
じゅうしょ	địa chỉ
ちず	bản đồ
しお	muối
さとう	đường
よみかた	cách đọc
〜かた	cách...
ゆっくり	chậm / thong thả
すぐ	ngay lập tức
また	lại / nữa

---

あとで	sau đó / lát nữa
もう すこし	thêm một chút nữa
もう	thêm / đã
いいですよ	được chứ / được thôi
さあ	ừm / nào
あれ？	ủa? / ô?
まっすぐ	thẳng
みぎ	bên phải
ひだり	bên trái
これで おねがいします	xin dùng cái này

---

おつり	tiền thối lại
