group_id,group_title,lesson,question_no,question_jp,meaning_vi,option_a,option_b,option_c,option_d
1,Động vật / người,Mina bài 10,1,あります nghĩa là gì?,あります nghĩa là gì?,có / ở,đi,đến,ăn
1,Động vật / người,Mina bài 10,2,います nghĩa là gì?,います nghĩa là gì?,có / ở,mua,đọc,viết
1,Động vật / người,Mina bài 10,3,いろいろ nghĩa là gì?,いろいろ nghĩa là gì?,nhiều loại / đa dạng,một chút,hoàn toàn không,rất
1,Động vật / người,Mina bài 10,4,おとこのひと nghĩa là gì?,おとこのひと nghĩa là gì?,người đàn ông,người phụ nữ,bé trai,bé gái
1,Động vật / người,Mina bài 10,5,おんなのひと nghĩa là gì?,おんなのひと nghĩa là gì?,người phụ nữ,người đàn ông,bé gái,bé trai
1,Động vật / người,Mina bài 10,6,おとこのこ nghĩa là gì?,おとこのこ nghĩa là gì?,bé trai,bé gái,người đàn ông,người phụ nữ
1,Động vật / người,Mina bài 10,7,おんなのこ nghĩa là gì?,おんなのこ nghĩa là gì?,bé gái,bé trai,người phụ nữ,người đàn ông
1,Động vật / người,Mina bài 10,8,犬（いぬ） nghĩa là gì?,犬（いぬ） nghĩa là gì?,chó,mèo,gấu trúc,voi
1,Động vật / người,Mina bài 10,9,ねこ nghĩa là gì?,ねこ nghĩa là gì?,mèo,chó,voi,gấu trúc
1,Động vật / người,Mina bài 10,10,パンダ nghĩa là gì?,パンダ nghĩa là gì?,gấu trúc,voi,mèo,chó
