group_id,group_title,lesson,question_no,question_jp,meaning_vi,option_a,option_b,option_c,option_d
1,Cách đọc Kanji & Từ vựng,Từ vựng cơ bản,1,まいばん ラジオを ききます。,Mỗi tối tôi nghe radio.,語きます,話きます,言きます,聞きます
1,Cách đọc Kanji & Từ vựng,Từ vựng cơ bản,2,えきまで たくしーで いきましょう。,Hãy đi đến nhà ga bằng taxi nhé.,クタツー,タクシー,タクシー,タクー
1,Cách đọc Kanji & Từ vựng,Từ vựng cơ bản,3,そこに くるまを とめないで ください。,Xin đừng đỗ xe ở đó.,上めないで,止めないで,正めないで,下ないで
1,Cách đọc Kanji & Từ vựng,Từ vựng cơ bản,4,かいぎは なんじまで ですか。,Cuộc họp đến mấy giờ?,何時,何寺,何町,何事
1,Cách đọc Kanji & Từ vựng,Từ vựng cơ bản,5,きょう しごとは やすみです。,Hôm nay tôi nghỉ làm.,休み,休ム,朴み,安み
1,Cách đọc Kanji & Từ vựng,Từ vựng cơ bản,6,きのうは ともだちの たんじょうびでした。,Hôm qua là sinh nhật của bạn tôi.,友だち,左だち,石だち,右だち
1,Cách đọc Kanji & Từ vựng,Từ vựng cơ bản,7,わたしの ちちは とても せが たかい。,Bố tôi rất cao.,父,母,兄,姉
1,Cách đọc Kanji & Từ vựng,Từ vựng cơ bản,8,まいにち いぬと さんぽします。,Mỗi ngày tôi đều đi dạo cùng chó.,苺日,田日,町日,毎日
1,Cách đọc Kanji & Từ vựng,Từ vựng cơ bản,9,これは せんえんです。,Cái này giá 1000 yên.,万円,千円,百円,一円
1,Cách đọc Kanji & Từ vựng,Từ vựng cơ bản,10,かわで さかなを とりました。,Tôi đã bắt cá ở sông.,海,肉,魚,毎
1,Cách đọc Kanji & Từ vựng,Từ vựng cơ bản,11,てーぶるの うえを みてください。,Hãy nhìn lên trên bàn.,テーブル,チーブル,ナーブル,ラーブル
1,Cách đọc Kanji & Từ vựng,Từ vựng cơ bản,12,らいしゅう くにへ かります。,Tuần sau tôi sẽ về nước.,口,四,国,西
1,Cách đọc Kanji & Từ vựng,Từ vựng cơ bản,13,おひるに パンを たべました。,Tôi đã ăn bánh mì vào buổi trưa.,食べました,倉べました,良くました,飲べました
1,Cách đọc Kanji & Từ vựng,Từ vựng cơ bản,14,デパートで シャツを かいました。,Tôi đã mua áo sơ mi ở trung tâm thương mại.,音いました,貝いました,買いました,貝しました
1,Cách đọc Kanji & Từ vựng,Từ vựng cơ bản,15,まっちを とって ください。,Hãy lấy que diêm.,マッチ,マッテ,アッチ,アッテ
