group_id,group_title,lesson,question_no,question_jp,romaji,meaning_vi,option_a,option_b,option_c,option_d
7,Điền vào câu,Mina bài 20,1,ビザが＿＿＿。,,Chọn đáp án phù hợp.,いります,しらべます,なおします,でんわします
7,Điền vào câu,Mina bài 20,2,ことばを＿＿＿。,,Chọn đáp án phù hợp.,しらべます,いります,なおします,しゅうりします
7,Điền vào câu,Mina bài 20,3,時計（とけい）を＿＿＿。,,Chọn đáp án phù hợp.,なおします,しらべます,いります,でんわします
7,Điền vào câu,Mina bài 20,4,パソコンを＿＿＿。,,Chọn đáp án phù hợp.,しゅうりします,いります,しらべます,おわり
7,Điền vào câu,Mina bài 20,5,友達（ともだち）に＿＿＿。,,Chọn đáp án phù hợp.,でんわします,なおします,しらべます,いります
7,Điền vào câu,Mina bài 20,6,＿＿＿は サラリーマンです。,,Chọn đáp án phù hợp.,ぼく,こっち,けど,はじめ
7,Điền vào câu,Mina bài 20,7,＿＿＿も 行きます（いきます）か。,,Chọn đáp án phù hợp.,きみ,ことば,ぶっか,ビザ
7,Điền vào câu,Mina bài 20,8,＿＿＿ 行きましょう。,,Chọn đáp án phù hợp.,みんなで,ううん,おわり,けど
7,Điền vào câu,Mina bài 20,9,＿＿＿へ 来て（きて）ください。,,Chọn đáp án phù hợp.,こっち,はじめ,おわり,ことば
7,Điền vào câu,Mina bài 20,10,＿＿＿が いいですか。,,Chọn đáp án phù hợp.,どっち,はじめ,うん,ううん
