group_id,group_title,lesson,question_no,question_jp,meaning_vi,option_a,option_b,option_c,option_d
2,Tính từ い cơ bản,Mina bài 8,1,大きい（おおきい） nghĩa là gì?,Hỏi nghĩa tiếng Việt của: 大きい（おおきい）.,nhỏ / bé,to / lớn,mới,cũ
2,Tính từ い cơ bản,Mina bài 8,2,小さい（ちいさい） nghĩa là gì?,Hỏi nghĩa tiếng Việt của: 小さい（ちいさい）.,to / lớn,nhỏ / bé,cao,thấp
2,Tính từ い cơ bản,Mina bài 8,3,新しい（あたらしい） nghĩa là gì?,Hỏi nghĩa tiếng Việt của: 新しい（あたらしい）.,mới,cũ,tốt,xấu
2,Tính từ い cơ bản,Mina bài 8,4,古い（ふるい） nghĩa là gì?,Hỏi nghĩa tiếng Việt của: 古い（ふるい）.,mới,cũ,rẻ,đắt
2,Tính từ い cơ bản,Mina bài 8,5,いい / よい nghĩa là gì?,Hỏi nghĩa tiếng Việt của: いい / よい.,tốt,xấu / không tốt,khó,dễ
2,Tính từ い cơ bản,Mina bài 8,6,悪い（わるい） nghĩa là gì?,Hỏi nghĩa tiếng Việt của: 悪い（わるい）.,tốt,xấu / không tốt,vui,thú vị
2,Tính từ い cơ bản,Mina bài 8,7,あつい nghĩa là gì?,Hỏi nghĩa tiếng Việt của: あつい.,nóng,lạnh,trắng,đen
2,Tính từ い cơ bản,Mina bài 8,8,さむい nghĩa là gì?,Hỏi nghĩa tiếng Việt của: さむい.,lạnh,nóng,đắt,rẻ
2,Tính từ い cơ bản,Mina bài 8,9,つめたい nghĩa là gì?,Hỏi nghĩa tiếng Việt của: つめたい.,lạnh,nóng,thấp,cao
2,Tính từ い cơ bản,Mina bài 8,10,むずかしい nghĩa là gì?,Hỏi nghĩa tiếng Việt của: むずかしい.,khó,dễ / hiền,ngon,vui
